Protein_id,locus_tag,note,length,panortholog
YP_003043334.1,ECB_00105,b0106,1203,FALSE
YP_003043335.1,ECB_00106,b0107,1386,FALSE
YP_003043336.1,ECB_00107,b0108,441,FALSE
YP_003043337.1,ECB_00108,b0109,894,TRUE
YP_003043338.1,ECB_00109,b0110,552,TRUE
YP_003043339.1,ECB_00110,b0111,855,TRUE
YP_003043340.1,ECB_00111,b0112,1374,TRUE
YP_003043341.1,ECB_00112,b0113,765,TRUE
YP_003043342.1,ECB_00113,b0114,2664,TRUE
YP_003043343.1,ECB_00114,b0115,1893,FALSE
YP_003043344.1,ECB_00115,b0116,1425,TRUE
YP_003043345.1,ECB_00116,b0117,1854,TRUE
YP_003043346.1,ECB_00117,b0118,2598,TRUE
YP_003043347.1,ECB_00118,b0119,363,TRUE
YP_003043348.1,ECB_00119,b0120,795,TRUE
YP_003043349.1,ECB_00120,b0121,867,TRUE
YP_003043350.1,ECB_00121,b0122,348,TRUE
YP_003043351.1,ECB_00122,b0123,1551,TRUE
YP_003043352.1,ECB_00123,b0124,2391,FALSE
YP_003043353.1,ECB_00124,b0125,537,TRUE
YP_003043354.1,ECB_00125,b0126,663,TRUE
YP_003043355.1,ECB_00126,b0127,927,TRUE
YP_003043356.1,ECB_00127,b0128,771,TRUE
YP_003043357.1,ECB_00128,b0129,441,TRUE
YP_003043358.1,ECB_00129,b0130,1230,TRUE
YP_003043359.1,ECB_00130,b0131,381,TRUE
YP_003043360.1,ECB_00131,b0132,903,TRUE
YP_003043361.1,ECB_00132,b0133,852,TRUE
YP_003043362.1,ECB_00133,b0134,795,TRUE
YP_003043363.1,ECB_00134,b0135,1347,FALSE
YP_003043364.1,ECB_00135,b0136,597,FALSE
YP_003043365.1,ECB_00136,b0137,603,FALSE
YP_003043366.1,ECB_00137,b0138,570,FALSE
YP_003043367.1,ECB_00138,b0139,2601,FALSE
YP_003043368.1,ECB_00139,b0140,741,FALSE
YP_003043369.1,ECB_00140,b0141,585,FALSE
YP_003043370.1,ECB_00141,b0142,480,TRUE
YP_003043371.1,ECB_00142,b0143,1365,TRUE
YP_003043372.1,ECB_00143,b0144,927,TRUE
YP_003043373.1,ECB_00144,b0145,456,TRUE
YP_003043374.1,ECB_00145,b0146,705,TRUE
YP_003043375.1,ECB_00146,b0147,531,FALSE
YP_003043376.1,ECB_00147,b0148,2430,TRUE
YP_003043377.1,ECB_00148,b0149,2526,TRUE
YP_003043378.1,ECB_00149,b0150,2244,FALSE
YP_003043379.1,ECB_00150,b0151,798,FALSE
YP_003043380.1,ECB_00151,b0152,891,FALSE
YP_003043381.1,ECB_00152,b0153,1983,FALSE
YP_003043382.1,ECB_00153,b0154,1281,TRUE
YP_003043383.1,ECB_00154,b0155,1422,FALSE
YP_003043384.1,ECB_00155,b0156,345,TRUE
YP_003043385.1,ECB_00156,b0157,624,TRUE
YP_003043386.1,ECB_00157,b0158,801,TRUE
YP_003043387.1,ECB_00158,b0159,699,TRUE
YP_003043388.1,ECB_00159,b0160,1518,TRUE
YP_003043389.1,ECB_00160,b0161,1425,TRUE
YP_003043390.1,ECB_00161,b0162,1158,TRUE
YP_003043391.1,ECB_00162,b0163,387,TRUE
YP_003043392.1,ECB_00163,b0164,813,FALSE
YP_003043393.1,ECB_00164,b0166,825,TRUE
YP_003043394.1,ECB_00165,b0167,2673,FALSE
YP_003043395.1,ECB_00166,b0168,795,TRUE
YP_003043396.1,ECB_00167,b0169,726,TRUE
YP_003043397.1,ECB_00168,b0170,852,FALSE
YP_003043398.1,ECB_00169,b0171,726,TRUE
YP_003043399.1,ECB_00170,b0172,558,TRUE
YP_003043400.1,ECB_00171,b0173,1197,FALSE
YP_003043401.1,ECB_00172,b0174,762,TRUE
YP_003043402.1,ECB_00173,b0175,858,TRUE
YP_003043403.1,ECB_00174,b0176,1353,TRUE
YP_003043404.1,ECB_00175,b0177,2433,TRUE
YP_003043405.1,ECB_00176,b0178,486,TRUE
YP_003043406.1,ECB_00177,b0179,1026,TRUE
YP_003043407.1,ECB_00178,b0180,456,FALSE
YP_003043408.1,ECB_00179,b0181,789,TRUE
YP_003043409.1,ECB_00180,b0182,1149,TRUE
YP_003043410.1,ECB_00181,b0183,597,TRUE
YP_003043411.1,ECB_00182,b0184,3483,TRUE
YP_003043412.1,ECB_00183,b0185,960,TRUE
YP_003043413.1,ECB_00184,b0186,2142,FALSE
YP_003043414.1,ECB_00185,b0187,390,TRUE
YP_003043415.1,ECB_00186,b0188,1299,TRUE
YP_003043416.1,ECB_00187,b0189,255,TRUE
YP_003043417.1,ECB_00188,b4406,201,FALSE
YP_003043418.1,ECB_00189,b0190,546,TRUE
YP_003043419.1,ECB_00190,b0191,423,TRUE
YP_003043420.1,ECB_00191,b0192,711,TRUE
YP_003043421.1,ECB_00192,b0193,825,FALSE
YP_003043422.1,ECB_00193,b0194,1719,TRUE
YP_003043423.1,ECB_00194,b0195,708,TRUE
YP_003043424.1,ECB_00195,b0196,405,TRUE
YP_003043425.1,ECB_00196,b0197,816,TRUE
YP_003043426.1,ECB_00197,b0198,654,TRUE
YP_003043427.1,ECB_00198,b0199,1032,TRUE
YP_003043428.1,ECB_00199,b0200,573,TRUE
YP_003043429.1,ECB_00200,b0207,804,TRUE
YP_003043430.1,ECB_00201,b0208,915,TRUE
YP_003043431.1,ECB_00202,b0209,801,TRUE
YP_003043432.1,ECB_00203,b0210,624,TRUE
YP_003043433.1,ECB_00204,b0211,1359,FALSE
YP_003043434.1,ECB_00205,b0212,756,TRUE
YP_003043435.1,ECB_00206,b0213,723,TRUE
YP_003043436.1,ECB_00207,b0214,468,TRUE
YP_003043437.1,ECB_00208,b0215,732,TRUE
YP_003043438.1,ECB_00209,b0217,786,FALSE
YP_003043439.1,ECB_00210,NA,276,FALSE
YP_003043440.1,ECB_00211,NA,504,FALSE
YP_003043441.1,ECB_00212,NA,372,FALSE
YP_003043442.1,ECB_00213,b3484,1137,FALSE
YP_003043443.1,ECB_00214,b0219,771,TRUE
YP_003043444.1,ECB_00215,b0220,474,TRUE
YP_003043445.1,ECB_00216,b0221,2445,FALSE
YP_003043446.1,ECB_00217,b0222,579,TRUE
YP_003043447.1,ECB_00218,b0223,768,TRUE
YP_003043448.1,ECB_00219,b0224,741,TRUE
YP_003043449.1,ECB_00220,b0225,279,FALSE
YP_003043450.1,ECB_00221,b0226,261,FALSE
YP_003043451.1,ECB_00222,b0227,750,TRUE
YP_003043452.1,ECB_00223,b0228,498,FALSE
YP_003043453.1,ECB_00226,b0231,1056,TRUE
YP_003043454.1,ECB_00227,b0232,294,FALSE
YP_003043455.1,ECB_00228,b0233,399,FALSE
YP_003043456.1,ECB_00229,b0234,453,FALSE
YP_003043457.1,ECB_00230,b0235,267,FALSE
YP_003043458.1,ECB_00231,b0236,501,FALSE
YP_003043459.1,ECB_00232,b0237,1458,TRUE
YP_003043460.1,ECB_00233,b0238,459,TRUE
YP_003043461.1,ECB_00234,b0239,1245,TRUE
YP_003043462.1,ECB_00235,b0240,402,TRUE
YP_003043463.1,ECB_00236,NA,276,FALSE
YP_003043464.1,ECB_00237,NA,504,FALSE
YP_003043465.1,ECB_00238,b0241,1038,TRUE
YP_003043466.1,ECB_00239,b0242,1104,TRUE
YP_003043467.1,ECB_00240,b0243,1254,TRUE
YP_003043468.1,ECB_00241,b0282,411,FALSE
YP_003043469.1,ECB_00242,b0283,957,FALSE
YP_003043470.1,ECB_00243,b0284,2199,FALSE
YP_003043471.1,ECB_00244,b0285,957,FALSE
YP_003043472.1,ECB_00245,b0286,690,FALSE
YP_003043473.1,ECB_00246,b0287,615,FALSE
YP_003043474.1,ECB_00247,b0288,330,FALSE
YP_003043475.1,ECB_00248,b0289,711,FALSE
YP_003043476.1,ECB_00249,b0290,1644,FALSE
YP_003043477.1,ECB_00250,b0291,2526,FALSE
YP_003043478.1,ECB_00251,b0292,669,FALSE
YP_003043479.1,ECB_00252,b0293,636,FALSE
YP_003043480.1,ECB_00253,b0294,591,FALSE
YP_003043481.1,ECB_00254,b0295,228,FALSE
YP_003043482.1,ECB_00255,b0296,264,FALSE
YP_003043483.1,ECB_00256,b0297,4257,FALSE
YP_003043484.1,ECB_00257,b0300,852,FALSE
YP_003043485.1,ECB_00258,b0301,594,FALSE
YP_003043486.1,ECB_00259,b0303,237,FALSE
YP_003043487.1,ECB_00260,b0304,1326,FALSE
YP_003043488.1,ECB_00261,b0305,855,FALSE
YP_003043489.1,ECB_00262,b0306,720,FALSE
YP_003043490.1,ECB_00263,b0307,1428,FALSE
YP_003043491.1,ECB_00264,b0308,696,FALSE
YP_003043492.1,ECB_00265,b0309,213,FALSE
YP_003043493.1,ECB_00266,b0310,669,FALSE
YP_003043494.1,ECB_00267,b0311,1671,FALSE
YP_003043495.1,ECB_00268,b0312,1473,FALSE
YP_003043496.1,ECB_00269,b0313,588,FALSE
YP_003043497.1,ECB_00270,b0314,2034,FALSE
YP_003043498.1,ECB_00271,b0315,1089,FALSE
YP_003043499.1,ECB_00272,b0316,933,FALSE
YP_003043500.1,ECB_00273,b0317,498,FALSE
YP_003043501.1,ECB_00274,b0318,606,FALSE
YP_003043502.1,ECB_00275,b0319,864,FALSE
YP_003043503.1,ECB_00276,b0320,1548,FALSE
YP_003043504.1,ECB_00277,b0321,1419,FALSE
YP_003043505.1,ECB_00278,b0323,951,FALSE
YP_003043506.1,ECB_00279,b0324,1383,FALSE
YP_003043507.1,ECB_00280,b0325,1050,FALSE
YP_003043508.1,ECB_00281,b0326,816,FALSE
YP_003043509.1,ECB_00282,b0327,246,FALSE
YP_003043510.1,ECB_00283,b0328,672,FALSE
YP_003043511.1,ECB_00284,b0329,276,FALSE
YP_003043512.1,ECB_00285,b0330,1587,FALSE
YP_003043513.1,ECB_00286,b0331,891,FALSE
YP_003043514.1,ECB_00287,b0333,1170,FALSE
YP_003043515.1,ECB_00288,b0334,1452,FALSE
YP_003043516.1,ECB_00289,b0335,1887,FALSE
YP_003043517.1,ECB_00290,b0336,1260,FALSE
YP_003043518.1,ECB_00291,b0337,1284,FALSE
YP_003043519.1,ECB_00292,b0338,900,FALSE
YP_003043520.1,ECB_00293,b0339,660,FALSE
YP_003043521.1,ECB_00294,b0340,471,FALSE
YP_003043522.1,ECB_00295,b0341,1155,FALSE
YP_003043523.1,ECB_00296,b0342,612,FALSE
YP_003043524.1,ECB_00297,b0343,1254,TRUE
YP_003043525.1,ECB_00298,b0344,3075,FALSE
YP_003043526.1,ECB_00299,b0345,1083,FALSE
YP_003043527.1,ECB_00300,b0346,948,FALSE
YP_003043528.1,ECB_00301,b0347,1665,FALSE
YP_003043529.1,ECB_00302,b0348,945,FALSE
YP_003043530.1,ECB_00303,b0349,882,FALSE
YP_003043531.1,ECB_00304,b0350,810,FALSE
YP_003043532.1,ECB_00305,b0351,951,FALSE
YP_003043533.1,ECB_00306,b0352,1014,FALSE
YP_003043534.1,ECB_00307,b0353,1212,FALSE
YP_003043535.1,ECB_00308,b0354,540,TRUE
YP_003043536.1,ECB_00309,b0355,834,TRUE
YP_003043537.1,ECB_00310,b0356,1110,TRUE
YP_003043538.1,ECB_00311,b0357,276,TRUE
YP_003043539.1,ECB_00312,b0358,774,FALSE
YP_003043540.1,ECB_00313,NA,504,FALSE
YP_003043541.1,ECB_00314,NA,276,FALSE
YP_003043542.1,ECB_00315,b0365,963,FALSE
YP_003043543.1,ECB_00316,b0366,768,FALSE
YP_003043544.1,ECB_00317,b0367,828,FALSE
YP_003043545.1,ECB_00318,b0368,852,FALSE
YP_003043546.1,ECB_00319,b0369,975,TRUE
YP_003043547.1,ECB_00320,b0370,198,FALSE
YP_003043548.1,ECB_00321,b0371-b0374,2907,FALSE
YP_003043549.1,ECB_00322,b0375,669,FALSE
YP_003043550.1,ECB_00323,b0376,1158,FALSE
YP_003043551.1,ECB_00324,b0377,1221,FALSE
YP_003043552.1,ECB_00325,b0378,1095,FALSE
YP_003043553.1,ECB_00326,b0379,309,FALSE
YP_003043554.1,ECB_00327,b0380,213,FALSE
YP_003043555.1,ECB_00328,b0381,1095,FALSE
YP_003043556.1,ECB_00329,b0382,261,FALSE
YP_003043557.1,ECB_00330,b0383,1416,FALSE
YP_003043558.1,ECB_00331,b0384,321,TRUE
YP_003043559.1,ECB_00332,b0385,1116,TRUE
YP_003043560.1,ECB_00333,b0386,810,TRUE
YP_003043561.1,ECB_00334,b0387,459,FALSE
YP_003043562.1,ECB_00335,b0388,525,TRUE
YP_003043563.1,ECB_00336,b0389,192,FALSE
YP_003043564.1,ECB_00337,b0390,678,TRUE
YP_003043565.1,ECB_00338,b0391,285,FALSE
YP_003043566.1,ECB_00339,b0392,282,FALSE
YP_003043567.1,ECB_00340,NA,504,FALSE
YP_003043568.1,ECB_00341,NA,276,FALSE
YP_003043569.1,ECB_00342,b0393,912,TRUE
YP_003043570.1,ECB_00343,b0394,909,TRUE
YP_003043571.1,ECB_00344,b0396,1185,FALSE
YP_003043572.1,ECB_00345,b0397,3147,TRUE
YP_003043573.1,ECB_00346,b0398,1203,TRUE
YP_003043574.1,ECB_00347,b0399,690,TRUE
YP_003043575.1,ECB_00348,b0400,1296,TRUE
YP_003043576.1,ECB_00349,b0401,1320,TRUE
YP_003043577.1,ECB_00350,b0402,1374,TRUE
YP_003043578.1,ECB_00351,b0403,1818,FALSE
YP_003043579.1,ECB_00353,b0405,1071,TRUE
YP_003043580.1,ECB_00354,b0406,1128,TRUE
YP_003043581.1,ECB_00355,b0407,333,TRUE
YP_003043582.1,ECB_00356,b0408,1848,TRUE
YP_003043583.1,ECB_00357,b0409,972,TRUE
YP_003043584.1,ECB_00358,b0410,348,TRUE
YP_003043585.1,ECB_00359,b0411,774,TRUE
YP_003043586.1,ECB_00360,b0412,540,FALSE
YP_003043587.1,ECB_00361,b0413,450,TRUE
YP_003043588.1,ECB_00362,b0414,1104,TRUE
YP_003043589.1,ECB_00363,b0415,471,TRUE
YP_003043590.1,ECB_00364,b0416,420,FALSE
YP_003043591.1,ECB_00365,b0417,978,TRUE
YP_003043592.1,ECB_00366,b0418,519,TRUE
YP_003043593.1,ECB_00367,b0419,975,TRUE
YP_003043594.1,ECB_00368,b0420,1863,TRUE
YP_003043595.1,ECB_00369,b0421,900,TRUE
YP_003043596.1,ECB_00370,b0422,243,FALSE
YP_003043597.1,ECB_00371,b0423,1449,FALSE
YP_003043598.1,ECB_00372,b0424,591,TRUE
YP_003043599.1,ECB_00373,b0425,912,TRUE
YP_003043600.1,ECB_00374,b0426,492,TRUE
YP_003043601.1,ECB_00375,b0427,1365,TRUE
YP_003043602.1,ECB_00376,NA,936,FALSE
YP_003043603.1,ECB_00377,NA,543,FALSE
YP_003043604.1,ECB_00378,NA,378,FALSE
YP_003043605.1,ECB_00379,b0428,891,TRUE
YP_003043606.1,ECB_00380,b0429,330,FALSE
YP_003043607.1,ECB_00381,b0430,615,TRUE
YP_003043608.1,ECB_00382,b0431,1992,TRUE
YP_003043609.1,ECB_00383,b0432,948,TRUE
YP_003043610.1,ECB_00384,b0433,1476,TRUE
YP_003043611.1,ECB_00385,b0434,579,TRUE
YP_003043612.1,ECB_00386,b0435,318,TRUE
YP_003043613.1,ECB_00387,b0436,1299,TRUE
YP_003043614.1,ECB_00388,b0437,624,FALSE
YP_003043615.1,ECB_00389,b0438,1275,TRUE
YP_003043616.1,ECB_00390,NA,1113,FALSE
YP_003043617.1,ECB_00391,b0439,2355,TRUE
YP_003043618.1,ECB_00392,b0440,273,TRUE
YP_003043619.1,ECB_00393,b0441,1872,TRUE
YP_003043620.1,ECB_00394,b0442,372,TRUE
YP_003043621.1,ECB_00395,b0443,399,TRUE
YP_003043622.1,ECB_00396,b0444,696,TRUE
YP_003043623.1,ECB_00397,b0445,1701,TRUE
YP_003043624.1,ECB_00398,b0446,819,TRUE
YP_003043625.1,ECB_00399,b0447,459,FALSE
YP_003043626.1,ECB_00400,b0448,1773,TRUE
YP_003043627.1,ECB_00401,b0449,1782,TRUE
YP_003043628.1,ECB_00402,b0450,339,TRUE
YP_003043629.1,ECB_00403,b0451,1287,TRUE
YP_003043630.1,ECB_00404,b0452,861,TRUE
YP_003043631.1,ECB_00405,b0453,573,TRUE
YP_003043632.1,ECB_00406,b0454,390,TRUE
YP_003043633.1,ECB_00407,b0456,354,TRUE
YP_003043634.1,ECB_00408,b0457,1551,FALSE
YP_003043635.1,ECB_00409,b0458,471,TRUE
YP_003043636.1,ECB_00410,b0459,552,FALSE
YP_003043637.1,ECB_00411,b0460,219,FALSE
YP_003043638.1,ECB_00412,b0461,375,FALSE
YP_003043639.1,ECB_00413,b0462,3150,FALSE
YP_003043640.1,ECB_00414,b0463,1194,TRUE
YP_003043641.1,ECB_00415,b0464,648,TRUE
YP_003043642.1,ECB_00416,b0465,3363,TRUE
YP_003043643.1,ECB_00417,b0466,162,FALSE
YP_003043644.1,ECB_00418,b0467,528,TRUE
YP_003043645.1,ECB_00419,b0468,378,TRUE
YP_003043646.1,ECB_00420,b0469,552,TRUE
YP_003043647.1,ECB_00421,b0470,1932,TRUE
YP_003043648.1,ECB_00422,b0471,330,FALSE
YP_003043649.1,ECB_00423,b0472,606,TRUE
YP_003043650.1,ECB_00424,b0473,1875,TRUE
YP_003043651.1,ECB_00425,b0474,645,TRUE
YP_003043652.1,ECB_00426,b0475,963,TRUE
YP_003043653.1,ECB_00427,b0476,960,TRUE
YP_003043654.1,ECB_00428,b0477,1305,FALSE
YP_003043655.1,ECB_00429,b0478,1677,FALSE
YP_003043656.1,ECB_00430,b0479,1221,FALSE
YP_003043657.1,ECB_00431,b0480,1653,FALSE
YP_003043658.1,ECB_00432,b0481,480,FALSE
YP_003043659.1,ECB_00433,b0482,795,FALSE
YP_003043660.1,ECB_00434,b0483,342,FALSE
YP_003043661.1,ECB_00435,b0484,2505,FALSE
YP_003043662.1,ECB_00436,b0485,933,FALSE
YP_003043663.1,ECB_00437,b0486,1293,FALSE
YP_003043664.1,ECB_00438,b0487,408,TRUE
YP_003043665.1,ECB_00439,b0488,456,TRUE
YP_003043666.1,ECB_00440,b0489,918,TRUE
YP_003043667.1,ECB_00441,b0490,678,TRUE
YP_003043668.1,ECB_00442,b0491,780,FALSE
YP_003043669.1,ECB_00443,b0492,855,FALSE
YP_003043670.1,ECB_00444,b0493,810,FALSE
YP_003043671.1,ECB_00445,b0494,627,FALSE
YP_003043672.1,ECB_00446,b0495,687,FALSE
YP_003043673.1,ECB_00447,b0496,2415,FALSE
YP_003043674.1,ECB_00448,b0497,4281,FALSE
YP_003043675.1,ECB_00449,b0498,369,FALSE
YP_003043676.1,ECB_00450,b0499,711,FALSE
YP_003043677.1,ECB_00451,b0500,261,FALSE
YP_003043678.1,ECB_00452,b0502,372,FALSE
YP_003043679.1,ECB_00453,b0503,1095,FALSE
YP_003043680.1,ECB_00454,b0504,927,FALSE
YP_003043681.1,ECB_00455,b0505,483,FALSE
YP_003043682.1,ECB_00456,b0506,816,FALSE
YP_003043683.1,ECB_00457,b0507,1782,FALSE
YP_003043684.1,ECB_00458,b0508,777,FALSE
YP_003043685.1,ECB_00459,b0509,879,FALSE
YP_003043686.1,ECB_00460,b0510,279,FALSE
YP_003043687.1,ECB_00461,b0511,1455,FALSE
YP_003043688.1,ECB_00462,b0512,1362,FALSE
YP_003043689.1,ECB_00463,b0513,1302,FALSE
YP_003043690.1,ECB_00464,b0514,1146,TRUE
YP_003043691.1,ECB_00465,b0515,786,TRUE
YP_003043692.1,ECB_00466,b0516,1236,FALSE
YP_003043693.1,ECB_00467,b0517,1050,TRUE
YP_003043694.1,ECB_00468,b0518,1668,FALSE
YP_003043695.1,ECB_00469,b4507-b0519(b4582),1260,FALSE
YP_003043696.1,ECB_00470,b0520,720,TRUE
YP_003043697.1,ECB_00471,b0521,894,TRUE
YP_003043698.1,ECB_00472,b0522,1068,TRUE
YP_003043699.1,ECB_00473,b0523,510,TRUE
YP_003043700.1,ECB_00474,b0524,723,TRUE
YP_003043701.1,ECB_00475,b0525,495,FALSE
YP_003043702.1,ECB_00476,b0526,1386,TRUE
YP_003043703.1,ECB_00477,b0527,522,FALSE
YP_003043704.1,ECB_00478,b0528,213,FALSE
YP_003043705.1,ECB_00479,b0529,867,TRUE
YP_003043706.1,ECB_00480,b0530,543,FALSE
YP_003043707.1,ECB_00481,b0531,693,FALSE
YP_003043708.1,ECB_00482,b0532,2610,FALSE
YP_003043709.1,ECB_00483,b0533,978,FALSE
YP_003043710.1,ECB_00484,b0534,516,FALSE
YP_003043711.1,ECB_00485,b0535,633,FALSE
YP_003043712.1,ECB_00486,b0537,1164,FALSE
YP_003043713.1,ECB_00487,NA,402,FALSE
YP_003043714.1,ECB_00488,NA,219,FALSE
YP_003043715.1,ECB_00489,NA,315,FALSE
YP_003043716.1,ECB_00490,NA,366,FALSE
YP_003043717.1,ECB_00492,b0542,186,FALSE
YP_003043718.1,ECB_00493,b0543,333,FALSE
YP_003043719.1,ECB_00494,b0544,1527,FALSE
YP_003043720.1,ECB_00495,b0545,552,FALSE
YP_003043721.1,ECB_00496,b0546,798,FALSE
YP_003043722.1,ECB_00497,b0547,456,FALSE
YP_003043723.1,ECB_00498,b0548,171,FALSE
YP_003043724.1,ECB_00499,b0549,291,FALSE
YP_003043725.1,ECB_00500,b0550,363,FALSE
YP_003043726.1,ECB_00501,b4509,141,FALSE
YP_003043727.1,ECB_00502,b0551,384,FALSE
YP_003043728.1,ECB_00504,NA,504,FALSE
YP_003043729.1,ECB_00505,NA,276,FALSE
YP_003043730.1,ECB_00506,b0554,216,FALSE
YP_003043731.1,ECB_00507,b0555,498,FALSE
YP_003043732.1,ECB_00508,b0556,462,FALSE
YP_003043733.1,ECB_00509,b0557,294,FALSE
YP_003043734.1,ECB_00510,NA,195,FALSE
YP_003043735.1,ECB_00511,b0560,576,FALSE
YP_003043736.1,ECB_00512,NA,2817,FALSE
YP_003043737.1,ECB_00513,NA,2346,FALSE
YP_003043738.1,ECB_00514,NA,282,FALSE
YP_003043739.1,ECB_00515,NA,705,FALSE
YP_003043740.1,ECB_00516,NA,294,FALSE
YP_003043741.1,ECB_00517,NA,336,FALSE
YP_003043742.1,ECB_00518,b0564,750,FALSE
YP_003043743.1,ECB_00519,b0565,954,FALSE
