locus_tag,gene,genome,mutator,dN,dS
ECB_02377,hyfE,Ara-1_REL10938,TRUE,0,1
ECB_02371,gcvR,Ara-1_REL10938,TRUE,1,0
ECB_02275,dsdX,Ara-1_REL10938,TRUE,0,1
ECB_04264,serB,Ara-1_REL10938,TRUE,1,0
ECB_02571,hycE,Ara-1_REL10938,TRUE,1,0
ECB_02971,yqjG,Ara-1_REL10938,TRUE,1,0
ECB_03707,metR,Ara-1_REL10938,TRUE,1,0
ECB_02975,yhaK,Ara-1_REL10938,TRUE,0,1
ECB_03491,coaD,Ara-1_REL10938,TRUE,1,0
ECB_02979,tdcG,Ara-1_REL10938,TRUE,1,0
ECB_03878,yjaH,Ara-1_REL10938,TRUE,1,0
ECB_01386,tehA,Ara-1_REL10938,TRUE,0,1
ECB_00707,aroG,Ara-1_REL10938,TRUE,1,0
ECB_00257,ykgA,Ara-1_REL10938,TRUE,1,0
ECB_02575,hycA,Ara-1_REL10938,TRUE,1,0
ECB_03135,smg,Ara-1_REL10938,TRUE,1,0
ECB_02475,yfiF,Ara-1_REL10938,TRUE,1,0
ECB_02478,yfiQ,Ara-1_REL10938,TRUE,0,1
ECB_01250,topA,Ara-1_REL10938,TRUE,2,0
ECB_00385,yajG,Ara-1_REL10938,TRUE,0,1
ECB_00387,tig,Ara-1_REL10938,TRUE,1,0
ECB_01258,pyrF,Ara-1_REL10938,TRUE,1,0
ECB_01312,ogt,Ara-1_REL10938,TRUE,1,0
ECB_00678,ybgQ,Ara-1_REL10938,TRUE,1,1
ECB_03175,gspC,Ara-1_REL10938,TRUE,1,0
ECB_00675,abrB,Ara-1_REL10938,TRUE,1,0
ECB_03673,wecG,Ara-1_REL10938,TRUE,1,0
ECB_00671,ybgJ,Ara-1_REL10938,TRUE,1,0
ECB_02485,yfiO,Ara-1_REL10938,TRUE,1,0
ECB_00672,ybgK,Ara-1_REL10938,TRUE,1,0
ECB_01427,narU,Ara-1_REL10938,TRUE,1,0
ECB_04186,fimD,Ara-1_REL10938,TRUE,0,1
ECB_01816,ptrB,Ara-1_REL10938,TRUE,1,0
ECB_01814,yobB,Ara-1_REL10938,TRUE,1,0
ECB_03299,ugpC,Ara-1_REL10938,TRUE,1,0
ECB_01811,yebZ,Ara-1_REL10938,TRUE,1,1
ECB_02509,ECB_02509,Ara-1_REL10938,TRUE,1,0
ECB_03198,fkpA,Ara-1_REL10938,TRUE,1,0
ECB_02673,ppdB,Ara-1_REL10938,TRUE,1,0
ECB_02502,grpE,Ara-1_REL10938,TRUE,0,1
ECB_01959,gmd,Ara-1_REL10938,TRUE,0,1
ECB_03123,acrE,Ara-1_REL10938,TRUE,1,0
ECB_01553,speG,Ara-1_REL10938,TRUE,1,0
ECB_01223,cls,Ara-1_REL10938,TRUE,0,1
ECB_00492,renD,Ara-1_REL10938,TRUE,1,0
ECB_03459,ECB_03459,Ara-1_REL10938,TRUE,1,0
ECB_01555,ynfD,Ara-1_REL10938,TRUE,1,0
ECB_00496,ybcM,Ara-1_REL10938,TRUE,1,0
ECB_01650,sufD,Ara-1_REL10938,TRUE,1,0
ECB_03906,malE,Ara-1_REL10938,TRUE,1,0
ECB_01049,yceE,Ara-1_REL10938,TRUE,1,0
ECB_02055,yehU,Ara-1_REL10938,TRUE,0,1
ECB_01043,ymdC,Ara-1_REL10938,TRUE,1,0
ECB_00929,ycbB,Ara-1_REL10938,TRUE,1,0
ECB_03664,wecB,Ara-1_REL10938,TRUE,1,0
ECB_02361,acrD,Ara-1_REL10938,TRUE,1,0
ECB_03789,rhaA,Ara-1_REL10938,TRUE,1,0
ECB_03877,hupA,Ara-1_REL10938,TRUE,1,0
ECB_04202,yjiK,Ara-1_REL10938,TRUE,1,0
ECB_04203,yjiL,Ara-1_REL10938,TRUE,1,0
ECB_00037,carB,Ara-1_REL10938,TRUE,1,0
ECB_04205,yjiN,Ara-1_REL10938,TRUE,1,0
ECB_03301,ugpA,Ara-1_REL10938,TRUE,1,0
ECB_02284,yfdW,Ara-1_REL10938,TRUE,1,0
ECB_02930,ygiP,Ara-1_REL10938,TRUE,1,0
ECB_03833,ptsA,Ara-1_REL10938,TRUE,1,0
ECB_02281,yfdE,Ara-1_REL10938,TRUE,1,0
ECB_02116,yejK,Ara-1_REL10938,TRUE,1,0
ECB_00623,gltI,Ara-1_REL10938,TRUE,1,0
ECB_00589,citA,Ara-1_REL10938,TRUE,1,0
ECB_03644,yifB,Ara-1_REL10938,TRUE,1,0
ECB_03756,bipA,Ara-1_REL10938,TRUE,0,1
ECB_00580,citT,Ara-1_REL10938,TRUE,1,0
ECB_02738,visC,Ara-1_REL10938,TRUE,1,0
ECB_02949,ygjK,Ara-1_REL10938,TRUE,1,0
ECB_03739,yigZ,Ara-1_REL10938,TRUE,1,0
ECB_00536,cusA,Ara-1_REL10938,TRUE,1,0
ECB_02232,hisM,Ara-1_REL10938,TRUE,1,0
ECB_02944,ebgR,Ara-1_REL10938,TRUE,1,0
ECB_00531,cusS,Ara-1_REL10938,TRUE,1,0
ECB_00446,ybbA,Ara-1_REL10938,TRUE,1,0
ECB_00447,ybbP,Ara-1_REL10938,TRUE,1,1
ECB_03467,secB,Ara-1_REL10938,TRUE,1,0
ECB_03549,ade,Ara-1_REL10938,TRUE,1,1
ECB_03461,lldP,Ara-1_REL10938,TRUE,2,0
ECB_03460,ECB_03460,Ara-1_REL10938,TRUE,3,0
ECB_00367,yajO,Ara-1_REL10938,TRUE,0,1
ECB_01668,ydiS,Ara-1_REL10938,TRUE,1,0
ECB_01919,yeeZ,Ara-1_REL10938,TRUE,1,0
ECB_00363,ribH,Ara-1_REL10938,TRUE,1,0
ECB_03012,yraK,Ara-1_REL10938,TRUE,1,0
ECB_02428,hcaT,Ara-1_REL10938,TRUE,1,0
ECB_02461,rncS,Ara-1_REL10938,TRUE,1,0
ECB_03465,cysE,Ara-1_REL10938,TRUE,1,0
ECB_00691,ybgG,Ara-1_REL10938,TRUE,1,0
ECB_01264,yciW,Ara-1_REL10938,TRUE,1,0
ECB_01261,yciT,Ara-1_REL10938,TRUE,1,0
ECB_01262,yciR,Ara-1_REL10938,TRUE,1,1
ECB_03082,nanK,Ara-1_REL10938,TRUE,1,0
ECB_03087,dcuD,Ara-1_REL10938,TRUE,2,0
ECB_00213,yhhI,Ara-1_REL10938,TRUE,1,0
ECB_00746,uvrB,Ara-1_REL10938,TRUE,1,0
ECB_03948,nrfG,Ara-1_REL10938,TRUE,1,0
ECB_01168,mltE,Ara-1_REL10938,TRUE,0,1
ECB_03261,feoB,Ara-1_REL10938,TRUE,1,0
ECB_00985,yccY,Ara-1_REL10938,TRUE,0,1
ECB_02884,yqhD,Ara-1_REL10938,TRUE,1,0
ECB_03068,yhbH,Ara-1_REL10938,TRUE,1,0
ECB_04013,groEL,Ara-1_REL10938,TRUE,0,1
ECB_00961,ompA,Ara-1_REL10938,TRUE,1,0
ECB_03307,livK,Ara-1_REL10938,TRUE,1,0
ECB_02888,ygiQ,Ara-1_REL10938,TRUE,1,0
ECB_00847,tfaE,Ara-1_REL10938,TRUE,0,1
ECB_04076,ECB_04076,Ara-1_REL10938,TRUE,1,0
ECB_00791,ybiY,Ara-1_REL10938,TRUE,0,1
ECB_03003,agaS,Ara-1_REL10938,TRUE,1,0
ECB_01502,ydfJ,Ara-1_REL10938,TRUE,1,0
ECB_01713,astE,Ara-1_REL10938,TRUE,1,0
ECB_02087,yeiH,Ara-1_REL10938,TRUE,1,1
ECB_01715,astD,Ara-1_REL10938,TRUE,0,1
ECB_02169,glpC,Ara-1_REL10938,TRUE,1,0
ECB_00458,hyi,Ara-1_REL10938,TRUE,1,0
ECB_04249,yjjG,Ara-1_REL10938,TRUE,1,0
ECB_03004,agaY,Ara-1_REL10938,TRUE,1,0
ECB_04124,valS,Ara-1_REL10938,TRUE,2,0
ECB_04222,hpaB,Ara-1_REL10938,TRUE,1,0
ECB_03788,rhaD,Ara-1_REL10938,TRUE,2,0
ECB_02019,gatB,Ara-1_REL10938,TRUE,1,0
ECB_00142,pcnB,Ara-1_REL10938,TRUE,1,0
ECB_01393,ydcP,Ara-1_REL10938,TRUE,1,0
ECB_04233,yjiZ,Ara-1_REL10938,TRUE,1,0
ECB_03908,lamB,Ara-1_REL10938,TRUE,1,0
ECB_03847,udhA,Ara-1_REL10938,TRUE,1,0
ECB_03757,yihL,Ara-1_REL10938,TRUE,1,0
ECB_02649,ECB_02649,Ara-1_REL10938,TRUE,1,0
ECB_02641,sdaC,Ara-1_REL10938,TRUE,1,0
ECB_03507,spoT,Ara-1_REL10938,TRUE,1,0
ECB_03504,yicF,Ara-1_REL10938,TRUE,0,1
ECB_02584,pphB,Ara-1_REL10938,TRUE,1,0
ECB_02589,ygbM,Ara-1_REL10938,TRUE,1,0
ECB_03696,yigF,Ara-1_REL10938,TRUE,0,1
ECB_02465,rseB,Ara-1_REL10938,TRUE,1,0
ECB_03690,ECB_03690,Ara-1_REL10938,TRUE,1,0
ECB_02748,sbm,Ara-1_REL10938,TRUE,2,0
ECB_03698,rarD,Ara-1_REL10938,TRUE,2,0
ECB_03983,basS,Ara-1_REL10938,TRUE,1,0
ECB_03599,yieH,Ara-1_REL10938,TRUE,1,0
ECB_03598,yieG,Ara-1_REL10938,TRUE,1,0
ECB_01308,ynaI,Ara-1_REL10938,TRUE,1,0
ECB_01302,ycjG,Ara-1_REL10938,TRUE,1,0
ECB_02918,yqiI,Ara-1_REL10938,TRUE,1,0
ECB_00668,phrB,Ara-1_REL10938,TRUE,1,0
ECB_02340,eutC,Ara-1_REL10938,TRUE,1,0
ECB_00660,ybfO,Ara-1_REL10938,TRUE,2,0
ECB_02344,eutG,Ara-1_REL10938,TRUE,1,0
ECB_01823,zwf,Ara-1_REL10938,TRUE,1,0
ECB_03438,ECB_03438,Ara-1_REL10938,TRUE,1,0
ECB_04190,gntP,Ara-1_REL10938,TRUE,1,0
ECB_03349,gor,Ara-1_REL10938,TRUE,1,0
ECB_04192,uxuB,Ara-1_REL10938,TRUE,0,1
ECB_04054,aidB,Ara-1_REL10938,TRUE,1,0
ECB_01829,znuC,Ara-1_REL10938,TRUE,1,0
ECB_03347,prlC,Ara-1_REL10938,TRUE,0,2
ECB_03437,ECB_03437,Ara-1_REL10938,TRUE,1,0
ECB_04053,yjfC,Ara-1_REL10938,TRUE,1,0
ECB_00430,fsr,Ara-1_REL10938,TRUE,1,0
ECB_03025,yhbU,Ara-1_REL10938,TRUE,1,0
ECB_00802,yliG,Ara-1_REL10938,TRUE,1,0
ECB_00809,cmr,Ara-1_REL10938,TRUE,0,1
ECB_02827,ECB_02827,Ara-1_REL10938,TRUE,1,0
ECB_00483,sfmH,Ara-1_REL10938,TRUE,1,0
ECB_01628,ECB_01628,Ara-1_REL10938,TRUE,0,1
ECB_03939,actP,Ara-1_REL10938,TRUE,0,1
ECB_01625,ydhO,Ara-1_REL10938,TRUE,1,0
ECB_01623,lhr,Ara-1_REL10938,TRUE,2,1
ECB_03253,hslO,Ara-1_REL10938,TRUE,1,0
ECB_03542,yicK,Ara-1_REL10938,TRUE,1,0
ECB_03231,yhfV,Ara-1_REL10938,TRUE,1,0
ECB_00933,ompF,Ara-1_REL10938,TRUE,0,1
ECB_03335,yhhJ,Ara-1_REL10938,TRUE,1,0
ECB_03334,yhhI,Ara-1_REL10938,TRUE,0,1
ECB_03337,yhiI,Ara-1_REL10938,TRUE,1,0
ECB_01430,yddL,Ara-1_REL10938,TRUE,0,1
ECB_01431,yddG,Ara-1_REL10938,TRUE,1,0
ECB_01432,fdnG,Ara-1_REL10938,TRUE,1,0
ECB_01433,fdnH,Ara-1_REL10938,TRUE,1,0
ECB_02636,yqcB,Ara-1_REL10938,TRUE,1,0
ECB_02633,gudX,Ara-1_REL10938,TRUE,1,0
ECB_02631,barA,Ara-1_REL10938,TRUE,2,0
ECB_03656,rep,Ara-1_REL10938,TRUE,1,0
ECB_03803,cdh,Ara-1_REL10938,TRUE,2,0
ECB_04171,sgcX,Ara-1_REL10938,TRUE,1,0
ECB_02049,yehM,Ara-1_REL10938,TRUE,1,0
ECB_04113,pyrB,Ara-1_REL10938,TRUE,1,0
ECB_02044,metG,Ara-1_REL10938,TRUE,1,0
ECB_03650,ilvA,Ara-1_REL10938,TRUE,1,0
ECB_00614,ybeR,Ara-1_REL10938,TRUE,1,0
ECB_00598,ybeF,Ara-1_REL10938,TRUE,0,1
ECB_02317,crr,Ara-1_REL10938,TRUE,1,0
ECB_00594,ccrB,Ara-1_REL10938,TRUE,0,1
ECB_03792,rhaR,Ara-1_REL10938,TRUE,1,0
ECB_02707,yqeA,Ara-1_REL10938,TRUE,1,0
ECB_00293,cynT,Ara-1_REL10938,TRUE,1,0
ECB_00292,cynR,Ara-1_REL10938,TRUE,1,0
ECB_00295,cynX,Ara-1_REL10938,TRUE,2,0
ECB_00112,pdhR,Ara-1_REL10938,TRUE,1,1
ECB_00117,acnB,Ara-1_REL10938,TRUE,0,1
ECB_02386,yfgC,Ara-1_REL10938,TRUE,1,0
ECB_02958,ygjU,Ara-1_REL10938,TRUE,1,0
ECB_03728,ubiB,Ara-1_REL10938,TRUE,2,0
ECB_02225,yfcE,Ara-1_REL10938,TRUE,1,0
ECB_03725,yigN,Ara-1_REL10938,TRUE,1,0
ECB_03890,iclR,Ara-1_REL10938,TRUE,1,0
ECB_03723,ECB_03723,Ara-1_REL10938,TRUE,0,1
ECB_02222,pta,Ara-1_REL10938,TRUE,1,0
ECB_02223,yfcC,Ara-1_REL10938,TRUE,1,0
ECB_00279,yahJ,Ara-1_REL10938,TRUE,1,0
ECB_01670,ydiD,Ara-1_REL10938,TRUE,1,0
ECB_03585,dnaA,Ara-1_REL10938,TRUE,1,0
ECB_01901,cobS,Ara-1_REL10938,TRUE,1,0
ECB_01675,ydiU,Ara-1_REL10938,TRUE,0,1
ECB_03577,dgoK,Ara-1_REL10938,TRUE,1,0
ECB_03318,zntA,Ara-1_REL10938,TRUE,1,0
ECB_03283,glgX,Ara-1_REL10938,TRUE,0,1
ECB_03479,waaL,Ara-1_REL10938,TRUE,0,1
ECB_00686,sucB,Ara-1_REL10938,TRUE,0,1
ECB_01279,goaG,Ara-1_REL10938,TRUE,1,0
ECB_01275,ycjL,Ara-1_REL10938,TRUE,0,1
ECB_01271,sapA,Ara-1_REL10938,TRUE,1,0
ECB_00756,ybhO,Ara-1_REL10938,TRUE,1,0
ECB_03156,rplF,Ara-1_REL10938,TRUE,1,0
ECB_01379,ydcI,Ara-1_REL10938,TRUE,1,0
ECB_01378,trg,Ara-1_REL10938,TRUE,1,0
ECB_01878,uvrC,Ara-1_REL10938,TRUE,1,0
ECB_01879,uvrY,Ara-1_REL10938,TRUE,1,0
ECB_03279,ECB_03279,Ara-1_REL10938,TRUE,1,0
ECB_01011,ycdI,Ara-1_REL10938,TRUE,1,0
ECB_03276,glpE,Ara-1_REL10938,TRUE,1,0
ECB_00654,kdpB,Ara-1_REL10938,TRUE,1,0
ECB_03270,malT,Ara-1_REL10938,TRUE,1,0
ECB_03271,rtcA,Ara-1_REL10938,TRUE,1,0
ECB_01971,dcd,Ara-1_REL10938,TRUE,0,1
ECB_04000,lysU,Ara-1_REL10938,TRUE,1,0
ECB_01975,yegD,Ara-1_REL10938,TRUE,1,0
ECB_00879,ybjE,Ara-1_REL10938,TRUE,1,0
ECB_01976,yegI,Ara-1_REL10938,TRUE,2,0
ECB_00416,kefA,Ara-1_REL10938,TRUE,1,0
ECB_00872,ybjR,Ara-1_REL10938,TRUE,1,0
ECB_03075,arcB,Ara-1_REL10938,TRUE,1,0
ECB_02357,ypfG,Ara-1_REL10938,TRUE,0,1
ECB_04071,ECB_04071,Ara-1_REL10938,TRUE,1,0
ECB_03367,treF,Ara-1_REL10938,TRUE,1,0
ECB_01477,yneE,Ara-1_REL10938,TRUE,2,0
ECB_01579,tus,Ara-1_REL10938,TRUE,1,0
ECB_01577,rstA,Ara-1_REL10938,TRUE,1,0
ECB_00476,cysS,Ara-1_REL10938,TRUE,1,0
ECB_02072,cdd,Ara-1_REL10938,TRUE,1,0
ECB_01703,celF,Ara-1_REL10938,TRUE,2,0
ECB_02562,hypF,Ara-1_REL10938,TRUE,1,0
ECB_03209,yhfK,Ara-1_REL10938,TRUE,0,1
ECB_01885,yedX,Ara-1_REL10938,TRUE,1,0
ECB_01883,yedV,Ara-1_REL10938,TRUE,1,0
ECB_03043,hflB,Ara-1_REL10938,TRUE,1,0
ECB_03423,malS,Ara-1_REL10938,TRUE,1,0
ECB_00087,murF,Ara-1_REL10938,TRUE,1,0
ECB_00084,ftsL,Ara-1_REL10938,TRUE,0,1
ECB_00089,murD,Ara-1_REL10938,TRUE,1,0
ECB_02183,arnT,Ara-1_REL10938,TRUE,1,0
ECB_00155,yadR,Ara-1_REL10938,TRUE,0,1
ECB_04228,hpaD,Ara-1_REL10938,TRUE,1,0
ECB_03701,recQ,Ara-1_REL10938,TRUE,1,0
ECB_03850,trmA,Ara-1_REL10938,TRUE,1,0
ECB_00158,pfs,Ara-1_REL10938,TRUE,1,0
ECB_00010,yaaH,Ara-1_REL10938,TRUE,1,0
ECB_03891,metH,Ara-1_REL10938,TRUE,1,0
ECB_02916,yqiG,Ara-1_REL10938,TRUE,1,0
ECB_02670,recC,Ara-1_REL10938,TRUE,1,0
ECB_02912,ygiE,Ara-1_REL10938,TRUE,0,1
ECB_02389,uraA,Ara-1_REL10938,TRUE,1,0
ECB_02910,ygiC,Ara-1_REL10938,TRUE,1,0
ECB_02679,mutH,Ara-1_REL10938,TRUE,0,1
ECB_03721,ECB_03721,Ara-1_REL10938,TRUE,1,0
ECB_02851,ECB_02851,Ara-1_REL10938,TRUE,1,0
ECB_02328,yfeU,Ara-1_REL10938,TRUE,0,1
ECB_00725,ybhC,Ara-1_REL10938,TRUE,1,0
ECB_03107,maf,Ara-1_REL10938,TRUE,1,0
ECB_03566,glvBC,Ara-1_REL10938,TRUE,2,1
ECB_02454,yfhB,Ara-1_REL10938,TRUE,1,0
ECB_02755,yggB,Ara-1_REL10938,TRUE,1,0
ECB_01337,ydfQ,Ara-1_REL10938,TRUE,1,0
ECB_01339,trkG,Ara-1_REL10938,TRUE,1,0
ECB_03578,dgoR,Ara-1_REL10938,TRUE,1,0
ECB_00126,yadG,Ara-1_REL10938,TRUE,0,1
ECB_02354,maeB,Ara-1_REL10938,TRUE,1,0
ECB_02355,talA,Ara-1_REL10938,TRUE,1,0
ECB_00553,entF,Ara-1_REL10938,TRUE,0,1
ECB_02350,eutT,Ara-1_REL10938,TRUE,1,0
ECB_00420,apt,Ara-1_REL10938,TRUE,1,0
ECB_04048,yjfI,Ara-1_REL10938,TRUE,0,1
ECB_00427,aes,Ara-1_REL10938,TRUE,1,0
ECB_00833,ECB_00833,Ara-1_REL10938,TRUE,1,0
ECB_03406,cspA,Ara-1_REL10938,TRUE,1,0
ECB_00343,yajF,Ara-1_REL10938,TRUE,1,0
ECB_02902,parE,Ara-1_REL10938,TRUE,1,0
ECB_00345,sbcC,Ara-1_REL10938,TRUE,1,0
ECB_00344,araJ,Ara-1_REL10938,TRUE,1,0
ECB_03401,bisC,Ara-1_REL10938,TRUE,0,1
ECB_03035,infB,Ara-1_REL10938,TRUE,1,0
ECB_03030,nlpI,Ara-1_REL10938,TRUE,1,0
ECB_03910,yjbI,Ara-1_REL10938,TRUE,1,0
ECB_03921,yjbN,Ara-1_REL10938,TRUE,1,0
ECB_01201,narK,Ara-1_REL10938,TRUE,1,0
ECB_01200,narX,Ara-1_REL10938,TRUE,0,1
ECB_00887,clpA,Ara-1_REL10938,TRUE,1,0
ECB_01741,ydjH,Ara-1_REL10938,TRUE,1,0
ECB_01748,gapA,Ara-1_REL10938,TRUE,1,0
ECB_01844,torY,Ara-1_REL10938,TRUE,1,1
ECB_00907,pflB,Ara-1_REL10938,TRUE,2,0
ECB_01596,ydgK,Ara-1_REL10938,TRUE,1,0
ECB_03831,gldA,Ara-1_REL10938,TRUE,1,0
ECB_03324,acpT,Ara-1_REL10938,TRUE,1,0
ECB_01449,yddW,Ara-1_REL10938,TRUE,1,0
ECB_03675,aslB,Ara-1_REL10938,TRUE,2,0
ECB_01442,yddP,Ara-1_REL10938,TRUE,0,1
ECB_02141,yojL,Ara-1_REL10938,TRUE,1,0
ECB_02146,atoS,Ara-1_REL10938,TRUE,1,0
ECB_03927,aphA,Ara-1_REL10938,TRUE,1,0
ECB_03532,ECB_03532,Ara-1_REL10938,TRUE,1,0
ECB_04266,nadR,Ara-1_REL10938,TRUE,1,0
ECB_03816,hslU,Ara-1_REL10938,TRUE,1,0
ECB_03812,glpF,Ara-1_REL10938,TRUE,1,0
ECB_04147,ECB_04147,Ara-1_REL10938,TRUE,2,0
ECB_03818,ftsN,Ara-1_REL10938,TRUE,0,1
ECB_04142,yjhC,Ara-1_REL10938,TRUE,1,0
ECB_02133,napA,Ara-1_REL10938,TRUE,1,0
ECB_02138,yojI,Ara-1_REL10938,TRUE,1,0
ECB_03666,rffG,Ara-1_REL10938,TRUE,1,0
ECB_02249,yfcK,Ara-1_REL10938,TRUE,0,1
ECB_02718,ygfS,Ara-1_REL10938,TRUE,1,0
ECB_03662,rfe,Ara-1_REL10938,TRUE,1,0
ECB_03784,frvB,Ara-1_REL10938,TRUE,1,0
ECB_03785,frvA,Ara-1_REL10938,TRUE,1,1
ECB_02241,accD,Ara-1_REL10938,TRUE,1,0
ECB_03780,fdhD,Ara-1_REL10938,TRUE,1,0
ECB_03668,wecD,Ara-1_REL10938,TRUE,1,0
ECB_01155,ycgM,Ara-1_REL10938,TRUE,1,0
ECB_00280,yahK,Ara-1_REL10938,TRUE,1,0
ECB_00289,prpE,Ara-1_REL10938,TRUE,1,0
ECB_03713,ECB_03713,Ara-1_REL10938,TRUE,1,0
ECB_00043,caiA,Ara-1_REL10938,TRUE,1,0
ECB_03863,rpoB,Ara-1_REL10938,TRUE,1,0
ECB_00046,fixB,Ara-1_REL10938,TRUE,0,1
ECB_03864,rpoC,Ara-1_REL10938,TRUE,1,0
ECB_00044,caiT,Ara-1_REL10938,TRUE,0,1
ECB_02620,ygcE,Ara-1_REL10938,TRUE,1,0
ECB_02623,ygcG,Ara-1_REL10938,TRUE,1,0
ECB_02962,exuT,Ara-1_REL10938,TRUE,1,0
ECB_02627,chpA,Ara-1_REL10938,TRUE,0,1
ECB_00269,betI,Ara-1_REL10938,TRUE,1,0
ECB_00301,mhpA,Ara-1_REL10938,TRUE,1,0
ECB_03565,glvG,Ara-1_REL10938,TRUE,1,0
ECB_00303,mhpC,Ara-1_REL10938,TRUE,0,1
ECB_00263,ykgF,Ara-1_REL10938,TRUE,1,0
ECB_00267,betA,Ara-1_REL10938,TRUE,1,0
ECB_01368,hrpA,Ara-1_REL10938,TRUE,0,1
ECB_03969,phnK,Ara-1_REL10938,TRUE,1,0
ECB_01364,ynbB,Ara-1_REL10938,TRUE,1,0
ECB_00767,ybiB,Ara-1_REL10938,TRUE,0,1
