locus_tag,Protein_id,Salmonella_locus_tag,Salmonella_Protein_id
ECB_00097,YP_003043326.1,STM0134,NP_459139.1
ECB_00098,YP_003043327.1,STM0135,NP_459140.2
ECB_00099,YP_003043328.1,STM0136,NP_459141.1
ECB_00100,YP_003043329.1,STM0137,NP_459142.1
ECB_00101,YP_003043330.1,STM0138,NP_459143.1
ECB_00102,YP_003043331.1,STM0139,NP_459144.1
ECB_00103,YP_003043332.1,STM0140,NP_459145.1
ECB_00104,YP_003043333.1,STM0141,NP_459146.1
ECB_00105,YP_003043334.1,STM0142,NP_459147.1
ECB_00106,YP_003043335.1,STM0143,NP_459148.1
ECB_00107,YP_003043336.1,STM0144,NP_459149.1
ECB_00108,YP_003043337.1,STM0145,NP_459150.1
ECB_00109,YP_003043338.1,STM0146,NP_459151.1
ECB_00110,YP_003043339.1,STM0147,NP_459152.1
ECB_00111,YP_003043340.1,STM0150,NP_459155.1
ECB_00112,YP_003043341.1,STM0151,NP_459156.1
ECB_00113,YP_003043342.1,STM0152,NP_459157.1
ECB_00114,YP_003043343.1,STM0153,NP_459158.1
ECB_00115,YP_003043344.1,STM0154,NP_459159.1
ECB_00116,YP_003043345.1,STM0157,NP_459162.1
ECB_00117,YP_003043346.1,STM0158,NP_459163.1
ECB_00118,YP_003043347.1,STM0160,NP_459165.1
ECB_00119,YP_003043348.1,STM0165,NP_459170.1
ECB_00120,YP_003043349.1,STM0166,NP_459171.1
ECB_00121,YP_003043350.1,STM0167,NP_459172.1
ECB_00122,YP_003043351.1,STM0168,NP_459173.1
ECB_00123,YP_003043352.1,STM0169,NP_459174.1
ECB_00124,YP_003043353.1,STM0170,NP_459175.1
ECB_00125,YP_003043354.1,STM0171,NP_459176.1
ECB_00126,YP_003043355.1,STM0172,NP_459177.1
ECB_00127,YP_003043356.1,STM0173,NP_459178.1
ECB_00128,YP_003043357.1,STM0178,NP_459183.1
ECB_00129,YP_003043358.1,STM0179,NP_459184.1
ECB_00130,YP_003043359.1,STM0180,NP_459185.1
ECB_00132,YP_003043361.1,STM0181,NP_459186.1
ECB_00133,YP_003043362.1,STM0182,NP_459187.1
ECB_00141,YP_003043370.1,STM0183,NP_459188.1
ECB_00142,YP_003043371.1,STM0184,NP_459189.1
ECB_00143,YP_003043372.1,STM0185,NP_459190.2
ECB_00144,YP_003043373.1,STM0186,NP_459191.1
ECB_00145,YP_003043374.1,STM0187,NP_459192.1
ECB_00146,YP_003043375.1,STM0188,NP_459193.1
ECB_00147,YP_003043376.1,STM0189,NP_459194.1
ECB_00148,YP_003043377.1,STM0190,NP_459195.1
ECB_00149,YP_003043378.1,STM0191,NP_459196.1
ECB_00150,YP_003043379.1,STM0192,NP_459197.1
ECB_00151,YP_003043380.1,STM0193,NP_459198.1
ECB_00152,YP_003043381.1,STM0194,NP_459199.1
ECB_00153,YP_003043382.1,STM0202,NP_459207.1
ECB_00154,YP_003043383.1,STM0203,NP_459208.1
ECB_00156,YP_003043385.1,STM0205,NP_459210.1
ECB_00157,YP_003043386.1,STM0206,NP_459211.1
ECB_00158,YP_003043387.1,STM0207,NP_459212.1
ECB_00159,YP_003043388.1,STM0208,NP_459213.1
ECB_00160,YP_003043389.1,STM0209,NP_459214.1
ECB_00161,YP_003043390.1,STM0210,NP_459215.1
ECB_00162,YP_003043391.1,STM0211,NP_459216.1
ECB_00164,YP_003043393.1,STM0213,NP_459218.1
ECB_00165,YP_003043394.1,STM0214,NP_459219.1
ECB_00166,YP_003043395.1,STM0215,NP_459220.1
ECB_00167,YP_003043396.1,STM0216,NP_459221.1
ECB_00168,YP_003043397.1,STM0217,NP_459222.1
ECB_00169,YP_003043398.1,STM0218,NP_459223.1
ECB_00170,YP_003043399.1,STM0219,NP_459224.1
ECB_00171,YP_003043400.1,STM0220,NP_459225.1
ECB_00172,YP_003043401.1,STM0221,NP_459226.1
ECB_00173,YP_003043402.1,STM0222,NP_459227.1
ECB_00174,YP_003043403.1,STM0223,NP_459228.1
ECB_00175,YP_003043404.1,STM0224,NP_459229.1
ECB_00176,YP_003043405.1,STM0225,NP_459230.1
ECB_00177,YP_003043406.1,STM0226,NP_459231.1
ECB_00178,YP_003043407.1,STM0227,NP_459232.1
ECB_00179,YP_003043408.1,STM0228,NP_459233.1
ECB_00180,YP_003043409.1,STM0229,NP_459234.1
ECB_00181,YP_003043410.1,STM0230,NP_459235.1
ECB_00182,YP_003043411.1,STM0231,NP_459236.1
ECB_00183,YP_003043412.1,STM0232,NP_459237.1
ECB_00185,YP_003043414.1,STM0235,NP_459240.1
ECB_00186,YP_003043415.1,STM0236,NP_459241.1
ECB_00187,YP_003043416.1,STM0237,NP_459242.1
ECB_00188,YP_003043417.1,STM0238,NP_459243.1
ECB_00189,YP_003043418.1,STM0239,NP_459244.1
ECB_00190,YP_003043419.1,STM0240,NP_459245.1
ECB_00193,YP_003043422.1,STM0242,NP_459246.1
ECB_00194,YP_003043423.1,STM0243,NP_459247.1
ECB_00195,YP_003043424.1,STM0244,NP_459248.1
ECB_00196,YP_003043425.1,STM0245,NP_459249.1
ECB_00197,YP_003043426.1,STM0246,NP_459250.1
ECB_00198,YP_003043427.1,STM0247,NP_459251.1
ECB_00199,YP_003043428.1,STM0248,NP_459252.1
ECB_00200,YP_003043429.1,STM0255,NP_459253.1
ECB_00201,YP_003043430.1,STM0256,NP_459254.1
ECB_00202,YP_003043431.1,STM0258,NP_459256.1
ECB_00203,YP_003043432.1,STM0259,NP_459257.1
ECB_00204,YP_003043433.1,STM0260,NP_459258.1
ECB_00205,YP_003043434.1,STM0261,NP_459259.1
ECB_00206,YP_003043435.1,STM0262,NP_459260.1
ECB_00207,YP_003043436.1,STM0263,NP_459261.1
ECB_00208,YP_003043437.1,STM0264,NP_459262.1
ECB_00214,YP_003043443.1,STM0308,NP_459306.1
ECB_00216,YP_003043445.1,STM0309,NP_459307.1
ECB_00217,YP_003043446.1,STM0310,NP_459308.1
ECB_00218,YP_003043447.1,STM0311,NP_459309.1
ECB_00219,YP_003043448.1,STM0312,NP_459310.1
ECB_00220,YP_003043449.1,STM3516,NP_462419.1
ECB_00221,YP_003043450.1,STM3517,NP_462420.1
ECB_00226,YP_003043453.1,STM0313,NP_459311.1
ECB_00229,YP_003043456.1,STM3653,NP_462554.1
ECB_00231,YP_003043458.1,STM0315,NP_459312.1
ECB_00232,YP_003043459.1,STM0316,NP_459313.1
ECB_00233,YP_003043460.1,STM0317,NP_459314.1
ECB_00234,YP_003043461.1,STM0318,NP_459315.1
ECB_00235,YP_003043462.1,STM0319,NP_459316.1
ECB_00238,YP_003043465.1,STM0320,NP_459317.1
ECB_00239,YP_003043466.1,STM0321,NP_459318.1
ECB_00240,YP_003043467.1,STM0322,NP_459319.1
ECB_00247,YP_003043474.1,STM1733,NP_460692.1
ECB_00255,YP_003043482.1,STM0469,NP_459464.1
ECB_00257,YP_003043484.1,STM1671,NP_460629.1
ECB_00258,YP_003043485.1,STM0566,NP_459558.1
ECB_00259,YP_003043486.1,STM0565,NP_459557.1
ECB_00260,YP_003043487.1,STM0564,NP_459556.1
ECB_00261,YP_003043488.1,STM0563,NP_459555.1
ECB_00283,YP_003043510.1,STM0365,NP_459360.1
ECB_00284,YP_003043511.1,STM0366,NP_459361.1
ECB_00285,YP_003043512.1,STM0367,NP_459362.1
ECB_00286,YP_003043513.1,STM0368,NP_459363.1
ECB_00287,YP_003043514.1,STM0369,NP_459364.1
ECB_00288,YP_003043515.1,STM0370,NP_459365.1
ECB_00289,YP_003043516.1,STM0371,NP_459366.1
ECB_00290,YP_003043517.1,STM3333,NP_462243.1
ECB_00291,YP_003043518.1,STM3334,NP_462244.1
ECB_00301,YP_003043528.1,STM1546,NP_460506.1
ECB_00308,YP_003043535.1,STM4192,NP_463057.1
ECB_00310,YP_003043537.1,STM1627,NP_460586.1
ECB_00311,YP_003043538.1,STM1628,NP_460587.1
ECB_00319,YP_003043546.1,STM0372,NP_459367.1
ECB_00321,YP_003043548.1,STM0373,NP_459368.1
ECB_00322,YP_003043549.1,STM0374,NP_459369.1
ECB_00323,YP_003043550.1,STM0375,NP_459370.2
ECB_00324,YP_003043551.1,STM0376,NP_459371.1
ECB_00325,YP_003043552.1,STM0377,NP_459372.1
ECB_00326,YP_003043553.1,STM0378,NP_459373.1
ECB_00327,YP_003043554.1,STM0379,NP_459374.1
ECB_00328,YP_003043555.1,STM0380,NP_459375.1
ECB_00329,YP_003043556.1,STM0383,NP_459378.2
ECB_00331,YP_003043558.1,STM0384,NP_459379.1
ECB_00332,YP_003043559.1,STM0385,NP_459380.1
ECB_00333,YP_003043560.1,STM0386,NP_459381.1
ECB_00334,YP_003043561.1,STM0387,NP_459382.1
ECB_00335,YP_003043562.1,STM0388,NP_459383.1
ECB_00336,YP_003043563.1,STM0389,NP_459384.1
ECB_00337,YP_003043564.1,STM0390,NP_459385.1
ECB_00338,YP_003043565.1,STM0391,NP_459386.1
ECB_00342,YP_003043569.1,STM0392,NP_459387.1
ECB_00343,YP_003043570.1,STM0393,NP_459388.1
ECB_00344,YP_003043571.1,STM0394,NP_459389.1
ECB_00345,YP_003043572.1,STM0395,NP_459390.1
ECB_00346,YP_003043573.1,STM0396,NP_459391.1
ECB_00347,YP_003043574.1,STM0397,NP_459392.1
ECB_00348,YP_003043575.1,STM0398,NP_459393.1
ECB_00349,YP_003043576.1,STM0399,NP_459394.1
ECB_00350,YP_003043577.1,STM0400,NP_459395.1
ECB_00351,YP_003043578.1,STM0401,NP_459396.1
ECB_00353,YP_003043579.1,STM0404,NP_459399.1
ECB_00354,YP_003043580.1,STM0405,NP_459400.1
ECB_00355,YP_003043581.1,STM0406,NP_459401.1
ECB_00356,YP_003043582.1,STM0407,NP_459402.1
ECB_00357,YP_003043583.1,STM0408,NP_459403.1
ECB_00358,YP_003043584.1,STM0411,NP_459406.1
ECB_00359,YP_003043585.1,STM0413,NP_459408.1
ECB_00360,YP_003043586.1,STM0414,NP_459409.1
ECB_00361,YP_003043587.1,STM0415,NP_459410.1
ECB_00362,YP_003043588.1,STM0416,NP_459411.1
ECB_00363,YP_003043589.1,STM0417,NP_459412.1
ECB_00364,YP_003043590.1,STM0418,NP_459413.1
ECB_00365,YP_003043591.1,STM0419,NP_459414.1
ECB_00366,YP_003043592.1,STM0420,NP_459415.1
ECB_00367,YP_003043593.1,STM0421,NP_459416.1
ECB_00368,YP_003043594.1,STM0422,NP_459417.1
ECB_00369,YP_003043595.1,STM0423,NP_459418.1
ECB_00370,YP_003043596.1,STM0424,NP_459419.1
ECB_00371,YP_003043597.1,STM0425,NP_459420.1
ECB_00372,YP_003043598.1,STM0433,NP_459428.1
ECB_00373,YP_003043599.1,STM0434,NP_459429.1
ECB_00374,YP_003043600.1,STM0435,NP_459430.2
ECB_00379,YP_003043605.1,STM0439,NP_459435.1
ECB_00380,YP_003043606.1,STM0440,NP_459436.1
ECB_00381,YP_003043607.1,STM0441,NP_459437.1
ECB_00382,YP_003043608.1,STM0442,NP_459438.1
ECB_00383,YP_003043609.1,STM0443,NP_459439.1
ECB_00384,YP_003043610.1,STM0444,NP_459440.1
ECB_00385,YP_003043611.1,STM0445,NP_459441.2
ECB_00386,YP_003043612.1,STM0446,NP_459442.1
ECB_00387,YP_003043613.1,STM0447,NP_459443.1
ECB_00388,YP_003043614.1,STM0448,NP_459444.1
ECB_00389,YP_003043615.1,STM0449,NP_459445.1
ECB_00391,YP_003043617.1,STM0450,NP_459446.1
ECB_00392,YP_003043618.1,STM0451,NP_459447.1
ECB_00393,YP_003043619.1,STM0452,NP_459448.1
ECB_00394,YP_003043620.1,STM0453,NP_459449.1
ECB_00395,YP_003043621.1,STM0454,NP_459450.1
ECB_00396,YP_003043622.1,STM0455,NP_459451.1
ECB_00397,YP_003043623.1,STM0456,NP_459452.1
ECB_00398,YP_003043624.1,STM0457,NP_459453.1
ECB_00399,YP_003043625.1,STM0459,NP_459455.1
ECB_00400,YP_003043626.1,STM0460,NP_459456.1
ECB_00401,YP_003043627.1,STM0461,NP_459457.1
ECB_00402,YP_003043628.1,STM0462,NP_459458.1
ECB_00403,YP_003043629.1,STM0463,NP_459459.1
ECB_00404,YP_003043630.1,STM0464,NP_459460.1
ECB_00405,YP_003043631.1,STM0465,NP_459461.1
ECB_00406,YP_003043632.1,STM0466,NP_459462.1
ECB_00408,YP_003043634.1,STM0468,NP_459463.1
ECB_00409,YP_003043635.1,STM0471,NP_459466.1
ECB_00410,YP_003043636.1,STM0472,NP_459467.1
ECB_00411,YP_003043637.1,STM0473,NP_459468.1
ECB_00412,YP_003043638.1,STM0474,NP_459469.1
ECB_00414,YP_003043640.1,STM0476,NP_459471.1
ECB_00415,YP_003043641.1,STM0477,NP_459472.1
ECB_00416,YP_003043642.1,STM0478,NP_459473.1
ECB_00417,YP_003043643.1,STM0480,NP_459475.1
ECB_00418,YP_003043644.1,STM0481,NP_459476.1
ECB_00419,YP_003043645.1,STM0482,NP_459477.1
ECB_00420,YP_003043646.1,STM0483,NP_459478.1
ECB_00421,YP_003043647.1,STM0484,NP_459479.1
ECB_00422,YP_003043648.1,STM0485,NP_459480.1
ECB_00423,YP_003043649.1,STM0486,NP_459481.1
ECB_00425,YP_003043651.1,STM0488,NP_459483.1
ECB_00426,YP_003043652.1,STM0489,NP_459484.1
ECB_00427,YP_003043653.1,STM0490,NP_459485.1
ECB_00428,YP_003043654.1,STM0491,NP_459486.1
ECB_00429,YP_003043655.1,STM0492,NP_459487.1
ECB_00430,YP_003043656.1,STM0493,NP_459488.1
ECB_00431,YP_003043657.1,STM0494,NP_459489.1
ECB_00432,YP_003043658.1,STM0495,NP_459490.1
ECB_00433,YP_003043659.1,STM0496,NP_459491.1
ECB_00435,YP_003043661.1,STM0498,NP_459493.1
ECB_00438,YP_003043664.1,STM0499,NP_459494.1
ECB_00439,YP_003043665.1,STM0500,NP_459495.1
ECB_00440,YP_003043666.1,STM0501,NP_459496.1
ECB_00441,YP_003043667.1,STM0502,NP_459497.1
ECB_00442,YP_003043668.1,STM0503,NP_459498.1
ECB_00443,YP_003043669.1,STM0504,NP_459499.1
ECB_00444,YP_003043670.1,STM0505,NP_459500.1
ECB_00445,YP_003043671.1,STM0506,NP_459501.1
ECB_00446,YP_003043672.1,STM0507,NP_459502.1
ECB_00447,YP_003043673.1,STM0508,NP_459503.1
ECB_00453,YP_003043679.1,STM0513,NP_459508.1
ECB_00454,YP_003043680.1,STM0514,NP_459509.1
ECB_00455,YP_003043681.1,STM0515,NP_459510.1
ECB_00456,YP_003043682.1,STM0516,NP_459511.1
ECB_00457,YP_003043683.1,STM0517,NP_459512.1
ECB_00458,YP_003043684.1,STM0518,NP_459513.1
ECB_00459,YP_003043685.1,STM0519,NP_459514.1
ECB_00461,YP_003043687.1,STM0522,NP_459517.1
ECB_00462,YP_003043688.1,STM0523,NP_459518.1
ECB_00463,YP_003043689.1,STM0524,NP_459519.1
ECB_00464,YP_003043690.1,STM0525,NP_459520.1
ECB_00465,YP_003043691.1,STM0526,NP_459521.1
ECB_00466,YP_003043692.1,STM0527,NP_459522.1
ECB_00467,YP_003043693.1,STM0528,NP_459523.1
ECB_00468,YP_003043694.1,STM0529,NP_459524.1
ECB_00469,YP_003043695.1,STM0530,NP_459525.1
ECB_00470,YP_003043696.1,STM0531,NP_459526.1
ECB_00471,YP_003043697.1,STM0532,NP_459527.1
ECB_00472,YP_003043698.1,STM0533,NP_459528.1
ECB_00473,YP_003043699.1,STM0534,NP_459529.1
ECB_00474,YP_003043700.1,STM0535,NP_459530.1
ECB_00475,YP_003043701.1,STM0536,NP_459531.1
ECB_00476,YP_003043702.1,STM0537,NP_459532.1
ECB_00477,YP_003043703.1,STM0540,NP_459535.1
ECB_00478,YP_003043704.1,STM0541,NP_459536.1
ECB_00479,YP_003043705.1,STM0542,NP_459537.1
ECB_00480,YP_003043706.1,STM0543,NP_459538.3
ECB_00481,YP_003043707.1,STM0545,NP_459540.1
ECB_00483,YP_003043709.1,STM0547,NP_459542.1
ECB_00484,YP_003043710.1,STM0548,NP_459543.1
ECB_00485,YP_003043711.1,STM0549,NP_459544.1
ECB_00493,YP_003043718.1,STM1653,NP_460612.1
ECB_00495,YP_003043720.1,STM1081,NP_460055.1
ECB_00496,YP_003043721.1,STM1082,NP_460056.1
ECB_00510,YP_003043734.1,STM1092,NP_460065.1
ECB_00537,YP_003043760.1,STM0568,NP_459560.1
ECB_00538,YP_003043761.1,STM0569,NP_459561.1
ECB_00539,YP_003043762.1,STM0578,NP_459570.1
ECB_00540,YP_003043763.1,STM0579,NP_459571.1
ECB_00541,YP_003043764.1,STM0582,NP_459574.1
ECB_00542,YP_003043765.1,STM0583,NP_459575.1
ECB_00549,YP_003043771.1,STM0584,NP_459576.1
ECB_00551,YP_003043773.1,STM0586,NP_459578.1
ECB_00552,YP_003043774.1,STM0587,NP_459579.1
ECB_00553,YP_003043775.1,STM0588,NP_459580.1
ECB_00554,YP_003043776.1,STM0589,NP_459581.1
ECB_00555,YP_003043777.1,STM0590,NP_459582.1
ECB_00556,YP_003043778.1,STM0591,NP_459583.1
ECB_00557,YP_003043779.1,STM0592,NP_459584.1
ECB_00558,YP_003043780.1,STM0593,NP_459585.1
ECB_00559,YP_003043781.1,STM0594,NP_459586.1
ECB_00560,YP_003043782.1,STM0595,NP_459587.1
ECB_00561,YP_003043783.1,STM0596,NP_459588.1
ECB_00562,YP_003043784.1,STM0597,NP_459589.1
ECB_00563,YP_003043785.1,STM0598,NP_459590.1
ECB_00564,YP_003043786.1,STM0599,NP_459591.1
ECB_00566,YP_003043787.1,STM0601,NP_459593.1
ECB_00567,YP_003043788.1,STM0602,NP_459594.1
ECB_00568,YP_003043789.1,STM0603,NP_459595.1
ECB_00569,YP_003043790.1,STM0604,NP_459596.1
ECB_00570,YP_003043791.1,STM0605,NP_459597.1
ECB_00573,YP_003043794.1,STM0607,NP_459599.1
ECB_00574,YP_003043795.1,STM0608,NP_459600.1
ECB_00575,YP_003043796.1,STM0609,NP_459601.1
ECB_00576,YP_003043797.1,STM0614,NP_459606.1
ECB_00577,YP_003043798.1,STM0615,NP_459607.1
ECB_00578,YP_003043799.1,STM0616,NP_459608.1
ECB_00579,YP_003043800.1,STM0617,NP_459609.1
ECB_00580,YP_003043801.1,STM0618,NP_459610.1
ECB_00581,YP_003043802.1,STM0619,NP_459611.1
ECB_00582,YP_003043803.1,STM0620,NP_459612.1
ECB_00584,YP_003043805.1,STM0622,NP_459614.1
ECB_00585,YP_003043806.1,STM0623,NP_459615.1
ECB_00586,YP_003043807.1,STM0624,NP_459616.1
ECB_00589,YP_003043810.1,STM0625,NP_459617.1
ECB_00590,YP_003043811.1,STM0626,NP_459618.1
ECB_00591,YP_003043812.1,STM0627,NP_459619.1
ECB_00592,YP_003043813.1,STM0628,NP_459620.1
ECB_00593,YP_003043814.1,STM0629,NP_459621.1
ECB_00594,YP_003043815.1,STM0630,NP_459622.1
ECB_00595,YP_003043816.1,STM0631,NP_459623.1
ECB_00596,YP_003043817.1,STM0632,NP_459624.1
ECB_00597,YP_003043818.1,STM0633,NP_459625.1
ECB_00598,YP_003043819.1,STM0634,NP_459626.1
ECB_00600,YP_003043821.1,STM0636,NP_459628.1
ECB_00601,YP_003043822.1,STM0637,NP_459629.1
ECB_00602,YP_003043823.1,STM0638,NP_459630.1
ECB_00603,YP_003043824.1,STM0639,NP_459631.1
ECB_00605,YP_003043826.1,STM0641,NP_459633.1
ECB_00606,YP_003043827.1,STM0642,NP_459634.1
ECB_00607,YP_003043828.1,STM0643,NP_459635.1
ECB_00608,YP_003043829.1,STM0645,NP_459637.1
ECB_00609,YP_003043830.1,STM0646,NP_459638.1
ECB_00610,YP_003043831.1,STM0647,NP_459639.1
ECB_00611,YP_003043832.1,STM0648,NP_459640.1
ECB_00612,YP_003043833.1,STM0653,NP_459645.1
ECB_00615,YP_003043835.1,STM0658,NP_459650.1
ECB_00616,YP_003043836.1,STM0659,NP_459651.1
ECB_00617,YP_003043837.1,STM0661,NP_459653.1
ECB_00621,YP_003043840.1,STM0663,NP_459655.1
ECB_00622,YP_003043841.1,STM0664,NP_459656.1
ECB_00623,YP_003043842.1,STM0665,NP_459657.1
ECB_00625,YP_003043844.1,STM0666,NP_459658.1
ECB_00626,YP_003043845.1,STM0667,NP_459659.1
ECB_00627,YP_003043846.1,STM0668,NP_459660.1
ECB_00628,YP_003043847.1,STM0669,NP_459661.2
ECB_00629,YP_003043848.1,STM0670,NP_459662.1
ECB_00630,YP_003043849.1,STM0671,NP_459663.1
ECB_00631,YP_003043850.1,STM0680,NP_459665.1
ECB_00632,YP_003043851.1,STM0681,NP_459666.1
ECB_00633,YP_003043852.1,STM0682,NP_459667.1
ECB_00634,YP_003043853.1,STM0683,NP_459668.1
ECB_00635,YP_003043854.1,STM0684,NP_459669.1
ECB_00636,YP_003043855.1,STM0685,NP_459670.1
ECB_00637,YP_003043856.1,STM0686,NP_459671.1
ECB_00638,YP_003043857.1,STM0687,NP_459672.1
ECB_00639,YP_003043858.1,STM0688,NP_459673.1
ECB_00640,YP_003043859.1,STM0693,NP_459678.1
ECB_00641,YP_003043860.1,STM0694,NP_459679.1
ECB_00642,YP_003043861.1,STM0695,NP_459680.1
ECB_00643,YP_003043862.1,STM0696,NP_459681.1
ECB_00644,YP_003043863.1,STM0697,NP_459682.1
ECB_00645,YP_003043864.1,STM0698,NP_459683.1
ECB_00648,YP_003043867.1,STM0700,NP_459685.1
ECB_00651,YP_003043870.1,STM0702,NP_459687.1
ECB_00652,YP_003043871.1,STM0703,NP_459688.1
ECB_00653,YP_003043872.1,STM0704,NP_459689.1
ECB_00654,YP_003043873.1,STM0705,NP_459690.1
ECB_00655,YP_003043874.1,STM0706,NP_459691.1
ECB_00657,YP_003043876.1,STM0708,NP_459693.1
ECB_00668,YP_003043886.1,STM0709,NP_459694.1
ECB_00669,YP_003043887.1,STM0710,NP_459695.1
ECB_00670,YP_003043888.1,STM0711,NP_459696.1
ECB_00671,YP_003043889.1,STM0712,NP_459697.1
ECB_00672,YP_003043890.1,STM0713,NP_459698.1
ECB_00673,YP_003043891.1,STM0714,NP_459699.1
ECB_00674,YP_003043892.1,STM0728,NP_459713.1
ECB_00675,YP_003043893.1,STM0729,NP_459714.1
ECB_00680,YP_003043898.1,STM0730,NP_459715.1
ECB_00681,YP_003043899.1,STM0732,NP_459717.1
ECB_00682,YP_003043900.1,STM0733,NP_459718.1
ECB_00683,YP_003043901.1,STM0734,NP_459719.1
ECB_00684,YP_003043902.1,STM0735,NP_459720.1
ECB_00685,YP_003043903.1,STM0736,NP_459721.1
ECB_00686,YP_003043904.1,STM0737,NP_459722.1
ECB_00687,YP_003043905.1,STM0738,NP_459723.1
ECB_00688,YP_003043906.1,STM0739,NP_459724.1
ECB_00693,YP_003043911.1,STM0741,NP_459726.1
ECB_00695,YP_003043913.1,STM0743,NP_459728.1
ECB_00696,YP_003043914.1,STM0744,NP_459729.1
ECB_00697,YP_003043915.1,STM0745,NP_459730.1
ECB_00698,YP_003043916.1,STM0746,NP_459731.1
ECB_00699,YP_003043917.1,STM0747,NP_459732.1
