lcl|NC_012967.1_cdsid_YP_003047245.1	lcl|NC_003197.1_prot_NP_463288.1_4286
lcl|NC_012967.1_cdsid_YP_003045675.1	lcl|NC_003197.1_prot_NP_461595.1_2596
lcl|NC_012967.1_cdsid_YP_003043268.1	lcl|NC_003197.1_prot_NP_459073.1_69
lcl|NC_012967.1_cdsid_YP_003045251.1	lcl|NC_003197.1_prot_NP_461107.1_2106
lcl|NC_012967.1_cdsid_YP_003044321.1	lcl|NC_003197.1_prot_NP_460179.1_1181
lcl|NC_012967.1_cdsid_YP_003043294.1	lcl|NC_003197.1_prot_NP_459108.1_103
lcl|NC_012967.1_cdsid_YP_003047023.1	lcl|NC_003197.1_prot_NP_463008.1_4006
lcl|NC_012967.1_cdsid_YP_003045095.1	lcl|NC_003197.1_prot_NP_460960.1_1958
lcl|NC_012967.1_cdsid_YP_003045925.1	lcl|NC_003197.1_prot_NP_461971.1_2972
lcl|NC_012967.1_cdsid_YP_003045913.1	lcl|NC_003197.1_prot_NP_461959.1_2959
lcl|NC_012967.1_cdsid_YP_003043922.1	lcl|NC_003197.1_prot_NP_459737.1_727
lcl|NC_012967.1_cdsid_YP_003043594.1	lcl|NC_003197.1_prot_NP_459417.1_412
lcl|NC_012967.1_cdsid_YP_003046400.1	lcl|NC_003197.1_prot_NP_462376.1_3377
lcl|NC_012967.1_cdsid_YP_003044900.1	lcl|NC_003197.1_prot_NP_460283.1_1287
lcl|NC_012967.1_cdsid_YP_003046607.1	lcl|NC_003197.1_prot_NP_462568.1_3568
lcl|NC_012967.1_cdsid_YP_003045107.1	lcl|NC_003197.1_prot_NP_461007.1_2005
lcl|NC_012967.1_cdsid_YP_003044169.1	lcl|NC_003197.1_prot_NP_460034.1_1034
lcl|NC_012967.1_cdsid_YP_003045054.1	lcl|NC_003197.1_prot_NP_460876.1_1875
lcl|NC_012967.1_cdsid_YP_003043803.1	lcl|NC_003197.1_prot_NP_459612.1_604
lcl|NC_012967.1_cdsid_YP_003047204.1	lcl|NC_003197.1_prot_NP_463217.1_4216
lcl|NC_012967.1_cdsid_YP_003046927.1	lcl|NC_003197.1_prot_NP_462885.1_3882
lcl|NC_012967.1_cdsid_YP_003047293.1	lcl|NC_003197.1_prot_NP_463335.1_4329
lcl|NC_012967.1_cdsid_YP_003044441.1	lcl|NC_003197.1_prot_NP_460694.1_1696
lcl|NC_012967.1_cdsid_YP_003043917.1	lcl|NC_003197.1_prot_NP_459732.1_722
lcl|NC_012967.1_cdsid_YP_003046249.1	lcl|NC_003197.1_prot_NP_462227.1_3227
lcl|NC_012967.1_cdsid_YP_003044870.1	lcl|NC_003197.1_prot_NP_460315.1_1318
lcl|NC_012967.1_cdsid_YP_003043765.1	lcl|NC_003197.1_prot_NP_459575.1_567
lcl|NC_012967.1_cdsid_YP_003046457.1	lcl|NC_003197.1_prot_NP_462424.1_3425
lcl|NC_012967.1_cdsid_YP_003044876.1	lcl|NC_003197.1_prot_NP_460309.1_1312
lcl|NC_012967.1_cdsid_YP_003043863.1	lcl|NC_003197.1_prot_NP_459682.1_672
lcl|NC_012967.1_cdsid_YP_003044853.1	lcl|NC_003197.1_prot_NP_460334.1_1337
lcl|NC_012967.1_cdsid_YP_003047344.1	lcl|NC_003197.1_prot_NP_459701.1_691
lcl|NC_012967.1_cdsid_YP_003045549.1	lcl|NC_003197.1_prot_NP_461412.1_2413
lcl|NC_012967.1_cdsid_YP_003047278.1	lcl|NC_003197.1_prot_NP_463315.1_4310
lcl|NC_012967.1_cdsid_YP_003045752.1	lcl|NC_003197.1_prot_NP_461764.1_2763
lcl|NC_012967.1_cdsid_YP_003047392.1	lcl|NC_003197.1_prot_NP_460073.1_1072
lcl|NC_012967.1_cdsid_YP_003043510.1	lcl|NC_003197.1_prot_NP_459360.1_356
lcl|NC_012967.1_cdsid_YP_003044106.1	lcl|NC_003197.1_prot_NP_459929.1_925
lcl|NC_012967.1_cdsid_YP_003044138.1	lcl|NC_003197.1_prot_NP_459961.1_957
lcl|NC_012967.1_cdsid_YP_003043595.1	lcl|NC_003197.1_prot_NP_459418.1_413
lcl|NC_012967.1_cdsid_YP_003047057.1	lcl|NC_003197.1_prot_NP_463046.1_4044
lcl|NC_012967.1_cdsid_YP_003044985.1	lcl|NC_003197.1_prot_NP_460787.1_1788
lcl|NC_012967.1_cdsid_YP_003047393.1	lcl|NC_003197.1_prot_NP_463392.1_4387
lcl|NC_012967.1_cdsid_YP_003043799.1	lcl|NC_003197.1_prot_NP_459608.1_600
lcl|NC_012967.1_cdsid_YP_003044591.1	lcl|NC_003197.1_prot_NP_460581.1_1583
lcl|NC_012967.1_cdsid_YP_003044225.1	lcl|NC_003197.1_prot_NP_460092.1_1091
lcl|NC_012967.1_cdsid_YP_003043485.1	lcl|NC_003197.1_prot_NP_459558.1_550
lcl|NC_012967.1_cdsid_YP_003044166.1	lcl|NC_003197.1_prot_NP_459032.1_27
lcl|NC_012967.1_cdsid_YP_003046578.1	lcl|NC_003197.1_prot_NP_461509.1_2508
lcl|NC_012967.1_cdsid_YP_003045442.1	lcl|NC_003197.1_prot_NP_461322.1_2322
lcl|NC_012967.1_cdsid_YP_003046961.1	lcl|NC_003197.1_prot_NP_462926.1_3923
lcl|NC_012967.1_cdsid_YP_003046931.1	lcl|NC_003197.1_prot_NP_459425.1_420
lcl|NC_012967.1_cdsid_YP_003046861.1	lcl|NC_003197.1_prot_NP_462834.1_3832
lcl|NC_012967.1_cdsid_YP_003043981.1	lcl|NC_003197.1_prot_NP_459797.1_786
lcl|NC_012967.1_cdsid_YP_003045869.1	lcl|NC_003197.1_prot_NP_461924.1_2924
lcl|NC_012967.1_cdsid_YP_003044366.1	lcl|NC_003197.1_prot_NP_460771.1_1772
lcl|NC_012967.1_cdsid_YP_003043257.1	lcl|NC_003197.1_prot_NP_459048.1_44
lcl|NC_012967.1_cdsid_YP_003045499.1	lcl|NC_003197.1_prot_NP_461359.1_2360
lcl|NC_012967.1_cdsid_YP_003043995.1	lcl|NC_003197.1_prot_NP_459806.1_795
lcl|NC_012967.1_cdsid_YP_003043797.1	lcl|NC_003197.1_prot_NP_459606.1_598
lcl|NC_012967.1_cdsid_YP_003044804.1	lcl|NC_003197.1_prot_NP_460415.1_1418
lcl|NC_012967.1_cdsid_YP_003047218.1	lcl|NC_003197.1_prot_NP_463231.1_4230
lcl|NC_012967.1_cdsid_YP_003045141.1	lcl|NC_003197.1_prot_NP_461042.1_2040
lcl|NC_012967.1_cdsid_YP_003045250.1	lcl|NC_003197.1_prot_NP_461106.1_2105
lcl|NC_012967.1_cdsid_YP_003046854.1	lcl|NC_003197.1_prot_NP_462824.1_3822
lcl|NC_012967.1_cdsid_YP_003046875.1	lcl|NC_003197.1_prot_NP_462843.1_3841
lcl|NC_012967.1_cdsid_YP_003046492.1	lcl|NC_003197.1_prot_NP_462468.1_3468
lcl|NC_012967.1_cdsid_YP_003045914.1	lcl|NC_003197.1_prot_NP_461960.1_2960
lcl|NC_012967.1_cdsid_YP_003045372.1	lcl|NC_003197.1_prot_NP_461239.2_2238
lcl|NC_012967.1_cdsid_YP_003044134.1	lcl|NC_003197.1_prot_NP_459957.1_953
lcl|NC_012967.1_cdsid_YP_003044100.1	lcl|NC_003197.1_prot_NP_459917.1_913
lcl|NC_012967.1_cdsid_YP_003043775.1	lcl|NC_003197.1_prot_NP_459580.1_572
lcl|NC_012967.1_cdsid_YP_003044403.1	lcl|NC_003197.1_prot_NP_460730.1_1731
lcl|NC_012967.1_cdsid_YP_003046819.1	lcl|NC_003197.1_prot_NP_462790.1_3788
lcl|NC_012967.1_cdsid_YP_003044961.1	lcl|NC_003197.1_prot_NP_460240.1_1244
lcl|NC_012967.1_cdsid_YP_003044115.1	lcl|NC_003197.1_prot_NP_459939.1_935
lcl|NC_012967.1_cdsid_YP_003047309.1	lcl|NC_003197.1_prot_NP_460104.1_1103
lcl|NC_012967.1_cdsid_YP_003043841.1	lcl|NC_003197.1_prot_NP_459656.1_646
lcl|NC_012967.1_cdsid_YP_003045017.1	lcl|NC_003197.1_prot_NP_460840.1_1839
lcl|NC_012967.1_cdsid_YP_003046473.1	lcl|NC_003197.1_prot_NP_462445.1_3445
lcl|NC_012967.1_cdsid_YP_003046870.1	lcl|NC_003197.1_prot_NP_462838.1_3836
lcl|NC_012967.1_cdsid_YP_003045847.1	lcl|NC_003197.1_prot_NP_461901.1_2900
lcl|NC_012967.1_cdsid_YP_003046273.1	lcl|NC_003197.1_prot_NP_462251.1_3251
lcl|NC_012967.1_cdsid_YP_003043243.1	lcl|NC_003197.1_prot_NP_459017.1_12
lcl|NC_012967.1_cdsid_YP_003045972.1	lcl|NC_003197.1_prot_NP_462019.1_3019
lcl|NC_012967.1_cdsid_YP_003044887.1	lcl|NC_003197.1_prot_NP_460299.1_1302
lcl|NC_012967.1_cdsid_YP_003045647.1	lcl|NC_003197.1_prot_NP_461513.1_2512
lcl|NC_012967.1_cdsid_YP_003043486.1	lcl|NC_003197.1_prot_NP_459557.1_549
lcl|NC_012967.1_cdsid_YP_003047188.1	lcl|NC_003197.1_prot_NP_463199.1_4198
lcl|NC_012967.1_cdsid_YP_003044256.1	lcl|NC_003197.1_prot_NP_460114.1_1114
lcl|NC_012967.1_cdsid_YP_003045407.1	lcl|NC_003197.1_prot_NP_461273.1_2272
lcl|NC_012967.1_cdsid_YP_003043773.1	lcl|NC_003197.1_prot_NP_459578.1_570
lcl|NC_012967.1_cdsid_YP_003045686.1	lcl|NC_003197.1_prot_NP_461605.1_2605
lcl|NC_012967.1_cdsid_YP_003047222.1	lcl|NC_003197.1_prot_NP_463236.1_4235
lcl|NC_012967.1_cdsid_YP_003046430.1	lcl|NC_003197.1_prot_NP_462394.1_3395
lcl|NC_012967.1_cdsid_YP_003044068.1	lcl|NC_003197.1_prot_NP_461623.1_2622
lcl|NC_012967.1_cdsid_YP_003043655.1	lcl|NC_003197.1_prot_NP_459487.1_481
lcl|NC_012967.1_cdsid_YP_003043347.1	lcl|NC_003197.1_prot_NP_459165.1_161
lcl|NC_012967.1_cdsid_YP_003045210.1	lcl|NC_003197.1_prot_NP_462175.1_3175
lcl|NC_012967.1_cdsid_YP_003047206.1	lcl|NC_003197.1_prot_NP_463219.1_4218
lcl|NC_012967.1_cdsid_YP_003045024.1	lcl|NC_003197.1_prot_NP_460847.1_1846
lcl|NC_012967.1_cdsid_YP_003045051.1	lcl|NC_003197.1_prot_NP_460874.1_1873
lcl|NC_012967.1_cdsid_YP_003046479.1	lcl|NC_003197.1_prot_NP_462452.1_3452
lcl|NC_012967.1_cdsid_YP_003045277.1	lcl|NC_003197.1_prot_NP_461144.1_2142
lcl|NC_012967.1_cdsid_YP_003043646.1	lcl|NC_003197.1_prot_NP_459478.1_472
lcl|NC_012967.1_cdsid_YP_003043830.1	lcl|NC_003197.1_prot_NP_459638.1_630
lcl|NC_012967.1_cdsid_YP_003044298.1	lcl|NC_003197.1_prot_NP_460156.1_1156
lcl|NC_012967.1_cdsid_YP_003047074.1	lcl|NC_003197.1_prot_NP_463091.1_4089
lcl|NC_012967.1_cdsid_YP_003046247.1	lcl|NC_003197.1_prot_NP_462225.1_3225
lcl|NC_012967.1_cdsid_YP_003043391.1	lcl|NC_003197.1_prot_NP_459216.1_212
lcl|NC_012967.1_cdsid_YP_003046634.1	lcl|NC_003197.1_prot_NP_462585.1_3585
lcl|NC_012967.1_cdsid_YP_003045463.1	lcl|NC_003197.1_prot_NP_461334.1_2334
lcl|NC_012967.1_cdsid_YP_003045353.1	lcl|NC_003197.1_prot_NP_461219.1_2218
lcl|NC_012967.1_cdsid_YP_003047226.1	lcl|NC_003197.1_prot_NP_463240.1_4239
lcl|NC_012967.1_cdsid_YP_003046244.1	lcl|NC_003197.1_prot_NP_462222.1_3222
lcl|NC_012967.1_cdsid_YP_003043860.1	lcl|NC_003197.1_prot_NP_459679.1_669
lcl|NC_012967.1_cdsid_YP_003045454.1	lcl|NC_003197.1_prot_NP_459201.1_197
lcl|NC_012967.1_cdsid_YP_003046925.1	lcl|NC_003197.1_prot_NP_462883.1_3880
lcl|NC_012967.1_cdsid_YP_003044480.1	lcl|NC_003197.1_prot_NP_460652.1_1653
lcl|NC_012967.1_cdsid_YP_003043690.1	lcl|NC_003197.1_prot_NP_459520.1_514
lcl|NC_012967.1_cdsid_YP_003046346.1	lcl|NC_003197.1_prot_NP_462334.1_3335
lcl|NC_012967.1_cdsid_YP_003047240.1	lcl|NC_003197.1_prot_NP_463255.1_4254
lcl|NC_012967.1_cdsid_YP_003043710.1	lcl|NC_003197.1_prot_NP_459543.1_537
lcl|NC_012967.1_cdsid_YP_003044296.1	lcl|NC_003197.1_prot_NP_460154.1_1154
lcl|NC_012967.1_cdsid_YP_003044223.1	lcl|NC_003197.1_prot_NP_460090.1_1089
lcl|NC_012967.1_cdsid_YP_003044016.1	lcl|NC_003197.1_prot_NP_459827.1_816
lcl|NC_012967.1_cdsid_YP_003044844.1	lcl|NC_003197.1_prot_NP_460353.1_1356
lcl|NC_012967.1_cdsid_YP_003046210.1	lcl|NC_003197.1_prot_NP_462187.1_3187
lcl|NC_012967.1_cdsid_YP_003043615.1	lcl|NC_003197.1_prot_NP_459445.1_439
lcl|NC_012967.1_cdsid_YP_003047079.1	lcl|NC_003197.1_prot_NP_463095.1_4093
lcl|NC_012967.1_cdsid_YP_003045378.1	lcl|NC_003197.1_prot_NP_461245.1_2244
lcl|NC_012967.1_cdsid_YP_003044086.1	lcl|NC_003197.1_prot_NP_459866.1_855
lcl|NC_012967.1_cdsid_YP_003044301.1	lcl|NC_003197.1_prot_NP_460159.1_1161
lcl|NC_012967.1_cdsid_YP_003043936.1	lcl|NC_003197.1_prot_NP_459762.1_752
lcl|NC_012967.1_cdsid_YP_003044332.1	lcl|NC_003197.1_prot_NP_460189.1_1191
lcl|NC_012967.1_cdsid_YP_003046167.1	lcl|NC_003197.1_prot_NP_462156.1_3156
lcl|NC_012967.1_cdsid_YP_003043449.1	lcl|NC_003197.1_prot_NP_462419.1_3420
lcl|NC_012967.1_cdsid_YP_003046378.1	lcl|NC_003197.1_prot_NP_462352.1_3353
lcl|NC_012967.1_cdsid_YP_003044447.1	lcl|NC_003197.1_prot_NP_460686.1_1688
lcl|NC_012967.1_cdsid_YP_003047236.1	lcl|NC_003197.1_prot_NP_463250.1_4249
lcl|NC_012967.1_cdsid_YP_003043322.1	lcl|NC_003197.1_prot_NP_459135.1_131
lcl|NC_012967.1_cdsid_YP_003044463.1	lcl|NC_003197.1_prot_NP_460672.1_1674
lcl|NC_012967.1_cdsid_YP_003047010.1	lcl|NC_003197.1_prot_NP_462995.1_3993
lcl|NC_012967.1_cdsid_YP_003044044.1	lcl|NC_003197.1_prot_NP_461655.1_2654
lcl|NC_012967.1_cdsid_YP_003045827.1	lcl|NC_003197.1_prot_NP_461887.1_2886
lcl|NC_012967.1_cdsid_YP_003045678.1	lcl|NC_003197.1_prot_NP_461599.1_2599
lcl|NC_012967.1_cdsid_YP_003044878.1	lcl|NC_003197.1_prot_NP_460307.1_1310
lcl|NC_012967.1_cdsid_YP_003045523.1	lcl|NC_003197.1_prot_NP_461382.1_2383
lcl|NC_012967.1_cdsid_YP_003046421.1	lcl|NC_003197.1_prot_NP_462385.1_3386
lcl|NC_012967.1_cdsid_YP_003046581.1	lcl|NC_003197.1_prot_NP_462544.1_3544
lcl|NC_012967.1_cdsid_YP_003044221.1	lcl|NC_003197.1_prot_NP_460085.1_1084
lcl|NC_012967.1_cdsid_YP_003045402.1	lcl|NC_003197.1_prot_NP_461267.1_2266
lcl|NC_012967.1_cdsid_YP_003046262.1	lcl|NC_003197.1_prot_NP_462240.1_3240
lcl|NC_012967.1_cdsid_YP_003044173.1	lcl|NC_003197.1_prot_NP_460038.1_1038
lcl|NC_012967.1_cdsid_YP_003045615.1	lcl|NC_003197.1_prot_NP_461481.1_2480
lcl|NC_012967.1_cdsid_YP_003046553.1	lcl|NC_003197.1_prot_NP_462510.1_3510
lcl|NC_012967.1_cdsid_YP_003044891.1	lcl|NC_003197.1_prot_NP_460291.1_1295
lcl|NC_012967.1_cdsid_YP_003045636.1	lcl|NC_003197.1_prot_NP_461497.1_2496
lcl|NC_012967.1_cdsid_YP_003044874.1	lcl|NC_003197.1_prot_NP_460311.1_1314
lcl|NC_012967.1_cdsid_YP_003043785.1	lcl|NC_003197.1_prot_NP_459590.1_582
lcl|NC_012967.1_cdsid_YP_003047310.1	lcl|NC_003197.1_prot_NP_460105.1_1104
lcl|NC_012967.1_cdsid_YP_003047022.1	lcl|NC_003197.1_prot_NP_463007.1_4005
lcl|NC_012967.1_cdsid_YP_003046425.1	lcl|NC_003197.1_prot_NP_462389.1_3390
lcl|NC_012967.1_cdsid_YP_003045364.1	lcl|NC_003197.1_prot_NP_461231.1_2230
lcl|NC_012967.1_cdsid_YP_003044420.1	lcl|NC_003197.1_prot_NP_460717.1_1718
lcl|NC_012967.1_cdsid_YP_003043564.1	lcl|NC_003197.1_prot_NP_459385.1_381
lcl|NC_012967.1_cdsid_YP_003045396.1	lcl|NC_003197.1_prot_NP_461261.1_2260
lcl|NC_012967.1_cdsid_YP_003044597.1	lcl|NC_003197.1_prot_NP_460567.1_1569
lcl|NC_012967.1_cdsid_YP_003046083.1	lcl|NC_003197.1_prot_NP_462093.1_3094
lcl|NC_012967.1_cdsid_YP_003044812.1	lcl|NC_003197.1_prot_NP_460407.2_1410
